"","dist_year","Expulsion_Asian","Expulsion_Black","Expulsion_White","Expulsion_Hispanic","Expulsions_Males","Expulsions_Females","Expulsion_Other"
"179","10314_2014-15","0","0","0",2,"0","0",0
"180","10314_2015-16","0","0","0",2,"0","0",0
"181","10314_2016-17","0","0","0",2,"0","0",0
"182","10322_2011-12",NA,"*","0",1,"0","*",NA
"183","10322_2012-13",NA,NA,"1",1,"1","*",NA
"184","10322_2013-14",NA,NA,"0",1,"0","0",NA
"185","10322_2014-15",NA,"*","0",1,"0","0",NA
"186","10322_2015-16",NA,"*","0",1,"0","0",NA
"187","10322_2016-17",NA,"*","0",1,"0","*",NA
"188","10330_2011-12","0","0","0",2,"0","0",0
"189","10330_2012-13","0","0","0",2,"0","0",0
"190","10330_2013-14","0","0","0",2,"0","0",0
"191","10330_2014-15","0","0","0",2,"0","0",0
"192","10330_2015-16","0","0","0",2,"0","0",0
"193","10330_2016-17","0","1","1",2,"2","0",0
"194","10348_2011-12","0","0","0",2,"0","0",0
"195","10348_2012-13","0","0","0",2,"0","0",0
"196","10348_2013-14","0","0","0",2,"0","0",0
"197","10348_2014-15","0","0","0",2,"0","0",0
"198","10348_2015-16","0","1","0",2,"1","0",0
"199","10348_2016-17","0","0","0",3,"1","0",0
"200","10355_2011-12","*",NA,"0",2,"0","0",NA
"201","10355_2012-13","*",NA,"0",2,"0","0",NA
"202","10355_2013-14","*",NA,"0",2,"0","0",NA
"203","10355_2014-15",NA,"*","0",2,"0","0",NA
"204","10355_2015-16",NA,NA,"0",2,"0","0",NA
"205","10355_2016-17","*",NA,"*",3,"1","0",NA
"206","10363_2011-12","0","0","0",2,"0","0",0
"207","10363_2012-13","0","0","0",2,"0","0",0
"208","10363_2013-14","0","1","0",2,"0","1",0
"209","10363_2014-15","0","0","0",2,"0","0",0
"210","10363_2015-16","0","0","0",2,"0","0",0
"211","10363_2016-17","0","0","1",2,"1","0",0
"212","10371_2011-12","0","0","0",2,"0","0",0
"213","10371_2012-13","0","0","0",2,"0","0",0
"214","10371_2013-14","0","0","0",2,"0","0",0
"215","10371_2014-15","0","0","0",2,"0","0",0
"216","10371_2015-16","0","0","0",2,"0","0",0
"217","10371_2016-17","0","0","0",3,"1","0",0
"218","10389_2011-12","0","0","0",2,"0","0",0
"219","10389_2012-13","1","0","0",2,"0","1",0
"220","10389_2013-14","0","0","0",2,"0","0",0
"221","10389_2014-15","0","0","0",2,"0","0",0
"222","10389_2015-16","0","0","0",2,"0","0",0
"223","10389_2016-17","0","0","0",2,"0","0",0
"224","10397_2011-12","0","0","0",2,"0","0",0
"225","10397_2012-13","0","0","0",2,"0","0",0
"226","10397_2013-14","2","1","0",2,"3","0",0
"227","10397_2014-15","3","3","0",2,"6","0",0
"228","10397_2015-16","0","0","0",69,"1","2",1
"229","10397_2016-17","1","0","0",2,"1","0",0
"230","10405_2011-12","*","0","0",2,"0","0",0
"231","10405_2012-13","*","0","0",2,"0","0",0
"232","10405_2013-14","*","0","0",2,"0","0",0
"233","10405_2014-15","*","0","0",2,"0","0",0
"234","10405_2015-16","*","0","0",2,"0","0",NA
"235","10405_2016-17","*","0","0",2,"0","0",0
"236","10413_2011-12","0","0","0",2,"0","0",0
"237","10413_2012-13","0","0","0",2,"0","0",0
"238","10413_2013-14","0","0","0",2,"0","0",0
"239","10413_2014-15","0","0","0",2,"0","0",0
"240","10413_2015-16","0","0","0",2,"0","0",NA
"241","10413_2016-17","0","0","0",2,"0","0",0
"242","10421_2011-12","*","0","0",2,"0","0",0
"243","10421_2012-13","*","0","0",2,"0","0",0
"244","10421_2013-14","*","0","0",2,"0","0",0
"245","10421_2014-15","*","0","0",2,"0","0",NA
"246","10421_2015-16","*","0","0",2,"0","0",NA
"247","10421_2016-17","*","0","0",2,"0","0",NA
"248","10439_2011-12","0","0","0",105,"1","2",0
"249","10439_2012-13","0","1","2",4,"7","6",0
"250","10439_2013-14","0","0","0",105,"2","1",0
"251","10439_2014-15","0","0","0",2,"0","0",0
"252","10439_2015-16","0","0","0",141,"4","1",0
"253","10439_2016-17","0","0","0",69,"2","0",0
"254","10447_2011-12","0","0","0",2,"0","0",NA
"255","10447_2012-13","0","0","0",2,"0","0",0
"256","10447_2013-14","0","0","0",2,"0","0",0
"257","10447_2014-15","0","0","0",2,"0","0",0
"258","10447_2015-16","0","0","0",2,"0","0",0
"259","10447_2016-17","0","0","0",2,"0","0",0
"260","10454_2011-12","*","0","0",2,"0","0",NA
"261","10454_2012-13","*","0","0",2,"0","0",NA
"262","10454_2013-14","*","0","0",2,"0","0",0
"263","10454_2014-15","*","0","0",2,"0","0",NA
"264","10454_2015-16","*","0","0",2,"0","0",0
"265","10454_2016-17","*","0","0",2,"0","0",0
"266","10462_2012-13",NA,NA,"*",0,"*","*",NA
"267","10470_2011-12","*","0","0",2,"0","0",NA
"268","10470_2012-13","*","0","0",2,"0","0",NA
"269","10470_2013-14","*","*","0",2,"0","0",NA
"270","10470_2014-15","*","*","0",2,"0","0",0
"271","10470_2015-16","*","*","0",2,"0","0",NA
"272","10470_2016-17","*","*","0",2,"0","0",NA
"273","10488_2011-12","0","0","0",2,"0","0",0
"274","10488_2012-13","0","0","0",2,"0","0",0
"275","10488_2013-14","0","0","0",2,"0","0",0
"276","10488_2014-15","0","0","0",2,"0","0",0
"277","10488_2015-16","0","0","0",2,"0","0",0
"278","10488_2016-17","0","0","0",2,"0","0",0
"279","10496_2011-12","0","0","0",2,"0","0",0
"280","10496_2012-13","0","0","0",2,"0","0",0
"281","10496_2013-14","0","0","0",2,"0","0",0
"282","10496_2014-15","0","0","0",2,"0","0",0
"283","10496_2015-16","0","0","0",2,"0","0",0
"284","10496_2016-17","0","0","0",2,"0","0",0
"285","10504_2011-12","0","0","2",3,"2","1",0
"286","10504_2012-13","0","0","0",2,"0","0",0
"287","10504_2013-14","0","0","0",2,"0","0",0
"288","10504_2014-15","0","0","0",2,"0","0",0
"289","10504_2015-16","0","0","0",2,"0","0",0
"290","10504_2016-17","0","0","0",2,"0","0",0
"291","10512_2011-12","0","0","0",2,"0","0",0
"292","10512_2012-13","0","0","0",2,"0","0",0
"293","10512_2013-14","0","0","0",2,"0","0",0
"294","10512_2014-15","0","0","0",2,"0","0",0
"295","10512_2015-16","0","0","0",2,"0","0",0
"296","10512_2016-17","0","0","0",2,"0","0",0
"297","10520_2011-12","*","*","0",2,"0","0",NA
"298","10520_2012-13",NA,"*","0",2,"0","0",0
"299","10520_2013-14","*","*","0",2,"0","0",NA
"300","10520_2014-15","*","*","0",2,"0","0",NA
"301","10520_2015-16","*","*","0",2,"0","0",NA
"302","10520_2016-17","*","*","0",2,"0","0",NA
"303","10538_2011-12",NA,NA,"0",1,"0","0",NA
"304","10538_2012-13",NA,"*","0",1,"0","0",NA
"305","10538_2013-14",NA,"*","0",1,"0","0",NA
"306","10538_2014-15",NA,NA,"0",1,"0","0",NA
"307","10538_2015-16",NA,NA,"0",0,"0","0",NA
"308","10538_2016-17","*","0","0",2,"0","0",NA
"309","10546_2011-12","0","0","0",69,"2","0",0
"310","10546_2012-13","0","0","1",2,"1","0",0
"311","10546_2013-14","0","0","0",2,"0","0",0
"312","10546_2014-15","0","0","0",3,"1","0",0
"313","10546_2015-16","0","0","0",2,"0","0",0
"314","10546_2016-17","0","0","0",2,"0","0",0
"315","10553_2011-12",NA,"*","0",2,"0","0",NA
"316","10553_2012-13",NA,"*","0",2,"0","0",0
"317","10553_2013-14",NA,"*","0",2,"0","0",NA
"318","10553_2014-15",NA,"*","0",2,"0","0",0
"319","10553_2015-16",NA,"*","0",2,"0","0",0
"320","10553_2016-17","*","*","0",2,"0","0",0
"321","10561_2011-12","0","0","0",2,"0","0",0
"322","10561_2012-13","0","0","0",2,"0","0",0
"323","10561_2013-14","0","0","0",2,"0","0",0
"324","10561_2014-15","0","0","0",2,"0","0",0
"325","10561_2015-16","0","0","0",2,"0","0",0
"326","10561_2016-17","0","0","0",2,"0","0",0
"327","10579_2011-12","*","0","0",2,"0","0",0
"328","10579_2012-13","*","0","0",2,"0","0",NA
"329","10579_2013-14","*","0","1",2,"1","0",NA
"330","10579_2014-15","*","0","0",2,"0","0",NA
"331","10579_2015-16","0","0","0",2,"0","0",0
"332","10579_2016-17","0","0","0",2,"0","0",0
"333","10587_2011-12","0","0","2",2,"2","0",0
"334","10587_2012-13","0","0","2",2,"2","0",0
