"","dist_year","County","Male.Suspensions","Female.Suspensions","AsianSuspensions","BlackSuspensions","HispanicSuspensions","WhiteSuspensoins","OtherSuspensions","enroll_asian","enroll_black","enroll_hisp","enroll_white","enroll_other","enroll_female","enroll_male"
"28","10165_2012-13","Kings",47,19,"*","12",45,"6",2,0,28,175,44,26,69,204
"29","10199_2011-12","Los Angeles",9269,1029,"54","3399",6097,"482",266,143,1221,5073,626,234,2616,4681
"30","10199_2012-13","Los Angeles",8907,881,"19","3079",6103,"422",165,132,1044,5023,556,209,2739,4225
"31","10199_2013-14","Los Angeles",6306,665,"14","2261",4126,"407",163,156,980,4744,577,376,2735,4098
"32","10199_2014-15","Los Angeles",1269,224,"3","672",675,"68",75,140,823,4271,554,348,2608,3528
"33","10199_2015-16","Los Angeles",1694,259,"7","894",953,"81",18,151,1025,3872,553,233,2399,3435
"34","10199_2016-17","Los Angeles",2358,267,"5","1230",1226,"119",45,152,967,3623,468,223,2278,3155
"35","10207_2011-12","Madera",315,61,"*","29",289,"37",19,2,24,556,100,24,266,440
"36","10207_2013-14","Madera",152,31,"*","22",126,"33",1,4,28,702,114,16,330,534
"37","10207_2014-15","Madera",108,33,"*","17",94,"23",7,2,20,670,113,25,341,489
"38","10207_2015-16","Madera",58,8,"*","4",44,"17",1,2,19,656,116,28,343,478
"39","10215_2011-12","Marin",194,104,"2","68",126,"94",6,9,36,119,111,11,101,185
"40","10215_2012-13","Marin",111,30,"2","20",67,"37",8,9,40,103,102,13,105,162
"41","10215_2013-14","Marin",76,13,"0","16",47,"22",4,10,31,80,97,10,90,138
"42","10215_2014-15","Marin",85,24,"1","15",66,"24",3,9,29,58,87,9,69,123
"43","10215_2015-16","Marin",126,35,"1","23",94,"38",5,8,23,69,81,16,68,129
"44","10215_2016-17","Marin",96,12,"0","9",68,"25",3,10,8,77,70,17,63,119
"45","10249_2011-12","Merced",1398,353,"14","168",1336,"188",41,40,78,838,206,28,456,734
"46","10249_2012-13","Merced",1840,364,"22","214",1705,"173",55,36,76,776,194,29,418,693
"47","10249_2013-14","Merced",1197,306,"0","134",1139,"168",55,31,72,715,184,25,402,625
"48","10249_2014-15","Merced",748,178,"4","106",688,"86",31,21,52,679,165,27,334,610
"49","10249_2015-16","Merced",479,108,"0","34",486,"42",23,19,36,602,147,26,304,526
"50","10249_2016-17","Merced",344,114,"3","44",366,"30",15,18,40,613,143,20,333,501
"51","10264_2012-13","Mono",12,2,"0","0",4,"8",2,12,73,212,83,34,110,304
"52","10264_2013-14","Mono",14,3,"0","0",13,"3",1,11,55,165,110,16,107,250
"53","10264_2014-15","Mono",7,1,"0","0",2,"0",4,23,90,236,153,17,182,337
"54","10264_2015-16","Mono",4,5,"0","0",8,"0",1,17,58,278,135,23,176,335
"55","10264_2016-17","Mono",3,9,"0","0",9,"2",1,17,77,210,72,7,129,254
"56","10272_2011-12","Monterey",43,3,"0","1",22,"18",5,13,23,485,160,190,358,513
