"","dist_year","County","Male.Suspensions","Female.Suspensions","AsianSuspensions","BlackSuspensions","HispanicSuspensions","WhiteSuspensoins","OtherSuspensions","enroll_asian","enroll_black","enroll_hisp","enroll_white","enroll_other","enroll_female","enroll_male"
"592","64519_2016-17","Los Angeles",365,161,"15","17",476,"16",0,1844,29,6934,123,103,4303,4730
"593","64527_2011-12","Los Angeles",801,247,"0","10",997,"31",4,12,23,4738,63,36,2366,2506
"594","64527_2012-13","Los Angeles",699,196,"0","4",877,"9",1,10,21,4632,60,30,2336,2417
"595","64527_2013-14","Los Angeles",504,149,"1","1",646,"5",0,14,11,4437,49,28,2195,2344
"596","64527_2014-15","Los Angeles",446,116,"0","2",546,"6",1,19,11,4276,42,24,2115,2257
"597","64527_2015-16","Los Angeles",233,66,"0","2",283,"3",0,15,9,4137,45,23,2013,2216
"598","64527_2016-17","Los Angeles",232,82,"0","5",304,"3",0,13,9,4117,34,23,2001,2195
"599","64535_2011-12","Los Angeles",46,27,"1","6",3,"58",5,155,83,13,1228,317,882,914
"600","64535_2012-13","Los Angeles",36,11,"3","3",13,"23",5,129,84,433,923,233,919,883
"601","64535_2013-14","Los Angeles",77,19,"1","6",21,"54",14,126,92,430,947,224,928,891
"602","64535_2014-15","Los Angeles",66,16,"3","4",5,"54",16,126,89,124,1238,261,915,923
"603","64535_2015-16","Los Angeles",77,25,"7","9",15,"55",16,121,98,407,962,250,920,918
"604","64535_2016-17","Los Angeles",72,14,"6","3",24,"50",3,114,101,403,923,257,898,900
"605","64550_2013-14","Los Angeles",76,15,"16","4",65,"5",1,699,6,495,10,19,577,652
"606","64550_2014-15","Los Angeles",33,24,"9","4",36,"3",5,648,9,471,10,23,562,599
"607","64550_2015-16","Los Angeles",86,25,"24","8",67,"4",8,695,6,425,10,29,557,608
"608","64550_2016-17","Los Angeles",65,23,"26","9",43,"1",8,719,3,419,7,29,559,618
"609","64568_2011-12","Los Angeles",1111,266,"84","24",449,"768",52,1676,185,2979,7448,1068,6452,6904
"610","64568_2012-13","Los Angeles",1080,297,"53","24",516,"724",60,1590,166,2955,7308,1082,6338,6763
"611","64568_2013-14","Los Angeles",1346,330,"67","54",518,"954",83,1527,157,2885,6995,1057,6063,6558
"612","64568_2014-15","Los Angeles",1044,244,"51","35",417,"750",35,1469,156,2838,6899,1059,5959,6462
"613","64568_2015-16","Los Angeles",884,151,"43","29",316,"597",50,1417,148,2796,6734,1044,5823,6316
"614","64568_2016-17","Los Angeles",802,171,"51","21",307,"552",42,1398,132,2700,6773,1032,5726,6309
"615","64576_2011-12","Los Angeles",406,142,"14","24",231,"253",26,178,70,1321,1923,241,1810,1923
"616","64576_2012-13","Los Angeles",348,102,"4","7",245,"180",14,193,64,1394,1876,255,1827,1955
"617","64576_2013-14","Los Angeles",213,29,"2","7",116,"107",10,212,68,1482,1806,263,1827,2004
"618","64576_2014-15","Los Angeles",174,29,"4","6",91,"91",11,232,60,1572,1761,271,1886,2010
"619","64576_2015-16","Los Angeles",166,38,"0","0",103,"93",8,250,49,1577,1703,267,1892,1954
"620","64584_2011-12","Los Angeles",0,0,"0","0",0,"0",0,36,63,282,498,47,528,398
"621","64584_2012-13","Los Angeles",1,0,"0","0",0,"1",0,36,58,319,540,12,551,414
"622","64584_2013-14","Los Angeles",0,1,"0","0",0,"1",0,36,59,314,546,35,567,423
"623","64584_2014-15","Los Angeles",1,0,"0","0",0,"1",0,46,56,338,575,44,606,453
"624","64584_2015-16","Los Angeles",5,0,"0","0",0,"5",0,36,45,408,611,106,708,498
"625","64584_2016-17","Los Angeles",0,0,"0","0",0,"0",0,38,50,426,635,122,742,529
"626","64592_2011-12","Los Angeles",1218,263,"17","771",605,"30",58,101,520,1597,46,101,1224,1141
"627","64592_2012-13","Los Angeles",807,250,"7","579",420,"16",35,98,523,1654,52,102,1216,1213
"628","64592_2013-14","Los Angeles",691,107,"3","454",310,"12",19,75,475,1689,61,102,1197,1205
"629","64592_2014-15","Los Angeles",722,136,"11","506",300,"18",23,66,475,1618,58,103,1129,1191
"630","64592_2015-16","Los Angeles",128,25,"0","102",45,"1",5,70,475,1597,54,98,1134,1160
"631","64592_2016-17","Los Angeles",164,27,"1","120",57,"6",7,70,451,1626,53,95,1138,1157
"632","64600_2011-12","Los Angeles",23,3,"2","0",5,"19",0,30,120,589,540,98,757,620
"633","64600_2012-13","Los Angeles",17,2,"0","0",7,"11",1,33,132,695,581,99,822,718
"634","64600_2013-14","Los Angeles",13,2,"0","0",3,"10",2,23,140,696,594,82,771,764
"635","64600_2014-15","Los Angeles",16,4,"0","*",2,"17",1,15,1,38,252,26,165,167
"636","64600_2015-16","Los Angeles",22,0,"2","*",2,"15",3,17,2,43,279,33,180,194
"637","64600_2016-17","Los Angeles",31,2,"0","*",4,"22",6,12,1,37,271,32,169,184
"638","64634_2011-12","Los Angeles",1799,683,"4","1404",1038,"6",30,17,2375,3486,16,77,2926,3045
"639","64634_2012-13","Los Angeles",1830,688,"1","1652",817,"5",43,24,2340,3408,19,104,2875,3020
"640","64634_2013-14","Los Angeles",1026,392,"2","888",494,"3",31,21,2241,3240,25,113,2790,2850
"641","64634_2014-15","Los Angeles",647,194,"1","524",297,"8",11,18,2041,3008,15,81,2533,2630
"642","64634_2015-16","Los Angeles",925,313,"2","707",489,"15",25,17,1854,2919,12,77,2361,2518
"643","64634_2016-17","Los Angeles",819,280,"2","643",427,"6",21,14,1671,2831,18,82,2208,2408
"644","64642_2011-12","Los Angeles",339,98,"*","89",225,"96",27,2,39,493,110,15,332,327
"645","64642_2012-13","Los Angeles",0,0,"*","0",0,"0",0,2,42,501,104,16,326,339
"646","64642_2013-14","Los Angeles",233,59,"*","62",155,"59",14,1,44,499,99,16,317,342
"647","64642_2014-15","Los Angeles",175,24,"*","44",111,"37",4,2,34,492,84,11,287,336
"648","64642_2015-16","Los Angeles",165,39,"*","43",107,"43",6,1,29,526,76,5,300,337
"649","64642_2016-17","Los Angeles",70,24,"*","17",57,"19",1,0,26,504,91,5,313,313
"650","64667_2011-12","Los Angeles",2448,776,"9","2015",751,"354",95,34,972,1485,582,123,1502,1694
"651","64667_2012-13","Los Angeles",2472,854,"3","2082",791,"320",130,34,985,1526,533,124,1525,1677
"652","64667_2013-14","Los Angeles",2095,716,"1","1827",665,"211",107,31,978,1528,473,126,1522,1614
"653","64667_2014-15","Los Angeles",1693,495,"3","1339",586,"164",96,35,991,1574,459,122,1551,1630
"654","64667_2015-16","Los Angeles",1976,685,"4","1744",626,"173",114,42,906,1571,455,145,1524,1595
"655","64667_2016-17","Los Angeles",1824,716,"4","1623",643,"140",130,44,962,1656,432,148,1598,1644
"656","64683_2011-12","Los Angeles",178,43,"8","18",16,"178",1,411,141,446,4738,139,2814,3061
"657","64683_2012-13","Los Angeles",193,46,"12","10",20,"190",7,400,139,485,4622,161,2787,3020
"658","64683_2013-14","Los Angeles",56,16,"3","5",12,"47",5,386,141,509,4531,183,2726,3024
"659","64683_2014-15","Los Angeles",107,20,"6","7",20,"86",8,361,140,527,4543,216,2796,2991
"660","64683_2015-16","Los Angeles",161,24,"7","15",25,"122",16,374,150,547,4547,240,2836,3022
"661","64683_2016-17","Los Angeles",157,30,"7","16",26,"135",3,356,173,581,4619,275,2933,3071
"662","64691_2011-12","Los Angeles",157,39,"5","51",116,"16",8,82,209,1299,70,75,880,855
"663","64691_2012-13","Los Angeles",162,31,"1","53",108,"20",11,90,188,1336,60,91,869,896
"664","64691_2013-14","Los Angeles",101,21,"1","33",71,"12",5,76,196,1313,67,79,872,859
"665","64691_2014-15","Los Angeles",138,26,"0","59",92,"7",6,79,185,1317,75,88,885,859
"666","64691_2015-16","Los Angeles",123,30,"2","69",74,"2",6,73,177,1381,66,85,877,905
"667","64691_2016-17","Los Angeles",116,35,"0","43",97,"9",2,67,166,1420,62,84,891,908
"668","64709_2011-12","Los Angeles",320,113,"0","105",321,"0",5,7,186,2519,7,76,1388,1407
"669","64709_2012-13","Los Angeles",147,75,"0","96",119,"2",5,9,232,2471,4,53,1397,1372
"670","64709_2013-14","Los Angeles",137,82,"0","61",146,"0",12,7,219,2330,19,225,1398,1402
"671","64709_2014-15","Los Angeles",155,81,"0","15",214,"4",3,10,172,2418,8,138,1389,1357
"672","64709_2015-16","Los Angeles",156,84,"1","4",220,"6",6,8,137,2177,15,299,1346,1290
"673","64709_2016-17","Los Angeles",195,72,"2","45",212,"4",3,8,190,2278,10,235,1402,1319
"674","64717_2011-12","Los Angeles",108,33,"1","8",121,"10",1,22,25,1000,49,34,535,595
"675","64717_2012-13","Los Angeles",47,16,"0","0",51,"10",2,19,22,979,53,39,506,606
"676","64717_2013-14","Los Angeles",45,19,"1","1",53,"8",1,16,19,1000,57,22,511,603
"677","64717_2014-15","Los Angeles",18,14,"0","1",29,"2",0,13,21,942,58,25,524,535
"678","64717_2015-16","Los Angeles",16,8,"0","0",21,"2",0,6,20,930,54,27,533,504
"679","64717_2016-17","Los Angeles",22,3,"0","3",21,"1",0,4,20,946,50,25,517,528
"680","64725_2011-12","Los Angeles",7286,2269,"216","3642",4618,"642",437,3116,6861,20619,6108,2972,19591,20085
"681","64725_2012-13","Los Angeles",8579,3173,"189","4494",5794,"768",507,2993,6606,20360,5856,2960,19163,19612
"682","64725_2013-14","Los Angeles",4665,1477,"135","2537",2710,"407",353,2908,6269,20217,5673,3027,18886,19208
"683","64725_2014-15","Los Angeles",3446,1048,"128","1849",2000,"252",265,2867,5969,19830,5504,2958,18240,18888
"684","64725_2015-16","Los Angeles",3545,1317,"124","1828",2311,"255",344,2809,5499,19413,5254,3024,17642,18357
"685","64725_2016-17","Los Angeles",2977,1186,"106","1409",2106,"249",293,2811,5118,19261,5039,3126,17419,17936
"686","64733_2011-12","Los Angeles",19249,7320,"231","8127",15926,"1641",644,11551,30144,216933,28911,14473,147478,154534
"687","64733_2012-13","Los Angeles",11730,4883,"142","5144",9994,"781",552,11128,29038,218093,24250,14437,144594,152352
"688","64733_2013-14","Los Angeles",9048,3160,"88","3948",7146,"628",398,10825,27692,216361,24225,14659,142880,150882
"689","64733_2014-15","Los Angeles",6109,2183,"67","2879",4602,"475",269,10242,26434,214627,24832,11744,139814,148065
"690","64733_2015-16","Los Angeles",6092,2202,"59","2682",4915,"395",243,10187,24871,209589,24841,12318,136555,145251
"691","64733_2016-17","Los Angeles",4464,1762,"47","1797",3865,"350",167,10137,23755,208706,24287,11219,134695,143409
"692","64758_2013-14","Los Angeles",29,8,"*","0",34,"1",2,1,1,374,0,10,199,187
"693","64758_2014-15","Los Angeles",47,14,"*","3",50,"7",1,2,3,389,5,6,202,203
"694","64758_2015-16","Los Angeles",49,3,"0","0",48,"2",0,2,2,358,8,5,169,206
"695","64758_2016-17","Los Angeles",58,9,"*","*",54,"4",0,1,3,320,6,5,150,185
"696","64766_2011-12","Los Angeles",86,15,"2","1",72,"23",3,20,6,418,255,26,370,355
"697","64766_2012-13","Los Angeles",76,20,"1","0",62,"31",2,19,8,453,253,31,374,390
"698","64766_2013-14","Los Angeles",63,15,"0","1",51,"24",2,25,9,470,249,31,367,417
"699","64766_2014-15","Los Angeles",63,7,"0","3",39,"28",0,25,10,480,233,30,366,412
"700","64766_2015-16","Los Angeles",77,9,"0","7",50,"27",2,25,12,507,236,28,392,416
"701","64766_2016-17","Los Angeles",64,11,"3","2",47,"21",2,19,13,515,216,28,409,382
"702","64774_2011-12","Los Angeles",1276,445,"0","238",1470,"5",7,8,433,6550,21,24,3345,3691
"703","64774_2012-13","Los Angeles",1141,432,"1","177",1384,"6",2,7,354,6364,22,27,3255,3519
"704","64774_2013-14","Los Angeles",926,307,"1","178",1038,"9",7,5,373,6301,34,24,3248,3489
"705","64774_2014-15","Los Angeles",432,130,"0","89",464,"8",1,7,381,6242,36,27,3228,3465
"706","64774_2015-16","Los Angeles",560,241,"6","132",658,"5",0,9,390,6212,40,22,3223,3450
"707","64774_2016-17","Los Angeles",483,259,"0","129",604,"0",8,9,398,6040,30,21,3131,3367
"708","64790_2013-14","Los Angeles",224,53,"4","44",172,"45",12,83,262,1704,691,135,1380,1495
"709","64790_2014-15","Los Angeles",81,50,"2","29",81,"16",3,88,242,1707,674,146,1348,1509
"710","64790_2016-17","Los Angeles",153,58,"4","39",117,"41",10,98,200,1635,577,146,1216,1440
"711","64808_2011-12","Los Angeles",1200,475,"17","6",1616,"27",9,395,48,14666,317,120,7597,7949
"712","64808_2012-13","Los Angeles",1047,344,"9","5",1356,"17",4,383,36,14461,275,116,7458,7813
"713","64808_2013-14","Los Angeles",1023,323,"6","9",1302,"19",10,333,54,14094,254,119,7243,7611
"714","64808_2014-15","Los Angeles",862,282,"3","7",1110,"11",13,305,49,13802,230,132,7034,7484
"715","64808_2015-16","Los Angeles",741,312,"11","5",1022,"12",3,310,47,13295,204,138,6763,7231
"716","64808_2016-17","Los Angeles",609,267,"2","5",856,"5",8,285,39,12874,181,152,6526,7005
"717","64816_2011-12","Los Angeles",706,226,"11","2",916,"2",0,94,0,1488,9,8,826,773
"718","64816_2012-13","Los Angeles",533,125,"4","1",649,"4",0,95,3,1422,4,4,769,759
"719","64816_2016-17","Los Angeles",255,72,"2","1",324,"*",0,91,1,1374,0,8,699,775
"720","64832_2011-12","Los Angeles",132,35,"3","13",107,"40",4,0,0,0,0,0,0,0
"721","64832_2012-13","Los Angeles",140,11,"5","6",83,"51",6,0,0,0,0,0,0,0
"722","64832_2013-14","Los Angeles",94,12,"3","6",53,"40",4,0,0,0,0,0,0,0
"723","64832_2014-15","Los Angeles",92,11,"2","6",51,"40",4,0,0,0,0,0,0,0
"724","64832_2015-16","Los Angeles",80,9,"6","9",40,"23",11,0,0,0,0,0,0,0
"725","64832_2016-17","Los Angeles",85,15,"4","8",44,"36",8,0,0,0,0,0,0,0
"726","64840_2011-12","Los Angeles",1206,419,"26","91",1269,"183",56,293,310,7700,1114,486,4816,5087
"727","64840_2012-13","Los Angeles",1505,585,"8","126",1655,"208",93,296,264,7456,1054,493,4641,4922
"728","64840_2013-14","Los Angeles",872,191,"11","55",824,"108",65,292,226,7287,967,485,4439,4818
"729","64840_2014-15","Los Angeles",592,159,"2","47",557,"98",47,279,234,7181,886,440,4342,4678
"730","64840_2015-16","Los Angeles",540,186,"5","30",598,"74",19,273,215,7119,833,434,4211,4663
"731","64840_2016-17","Los Angeles",491,177,"17","45",538,"52",16,298,228,6949,775,409,4148,4511
"732","64857_2011-12","Los Angeles",3080,901,"8","1695",1848,"261",169,43,840,3309,444,234,2359,2511
"733","64857_2012-13","Los Angeles",2542,815,"8","1344",1647,"232",126,47,931,3848,492,269,2744,2843
"734","64857_2013-14","Los Angeles",2282,866,"6","1280",1559,"142",161,45,962,4014,506,302,2831,2998
"735","64857_2014-15","Los Angeles",2305,635,"6","1341",1361,"158",74,45,1012,4260,527,236,2848,3232
"736","64857_2015-16","Los Angeles",2007,723,"6","1185",1339,"129",71,49,991,4466,530,205,3029,3212
"737","64857_2016-17","Los Angeles",2148,584,"10","1181",1334,"143",64,43,917,4676,537,205,3139,3239
"738","64865_2012-13","Los Angeles",169,18,"43","15",16,"102",11,1636,188,544,3639,294,3090,3211
"739","64865_2013-14","Los Angeles",197,27,"57","26",30,"108",3,1667,185,547,3549,358,3099,3207
"740","64865_2016-17","Los Angeles",114,24,"25","12",38,"51",12,1636,162,678,3025,542,2977,3066
"741","64873_2011-12","Los Angeles",960,304,"5","402",787,"32",37,46,720,6717,128,130,3836,3905
"742","64873_2012-13","Los Angeles",964,316,"3","355",859,"25",37,42,689,6743,110,141,3814,3911
"743","64873_2013-14","Los Angeles",1346,369,"6","567",1075,"17",50,51,669,6698,91,169,3785,3893
"744","64873_2014-15","Los Angeles",717,219,"0","250",642,"13",31,52,678,6580,76,158,3668,3876
"745","64873_2015-16","Los Angeles",763,221,"0","250",713,"11",10,52,653,6576,76,164,3632,3889
"746","64873_2016-17","Los Angeles",646,218,"1","226",606,"8",23,48,590,6616,88,156,3639,3859
"747","64881_2011-12","Los Angeles",2790,1132,"14","1440",2119,"230",119,196,1604,5274,1100,504,4233,4445
"748","64881_2012-13","Los Angeles",2348,949,"9","1120",1846,"247",75,219,1528,5226,1100,487,4143,4417
"749","64881_2013-14","Los Angeles",1948,754,"9","991",1438,"185",79,222,1389,5076,1159,476,4029,4293
"750","64881_2014-15","Los Angeles",1369,455,"5","723",944,"107",45,229,1286,4969,1150,484,3930,4188
"751","64881_2015-16","Los Angeles",1001,405,"5","501",744,"109",47,240,1169,5031,1166,418,3851,4173
"752","64881_2016-17","Los Angeles",1045,451,"6","502",841,"100",47,262,1084,4955,1221,425,3811,4136
"753","64907_2011-12","Los Angeles",5784,2044,"86","660",6833,"169",80,534,787,9982,505,379,5923,6264
"754","64907_2012-13","Los Angeles",3145,1134,"33","525",3528,"126",67,494,739,9921,493,343,5846,6144
"755","64907_2013-14","Los Angeles",2351,760,"23","326",2671,"56",35,470,686,9867,452,318,5672,6121
"756","64907_2014-15","Los Angeles",1497,477,"10","235",1631,"54",44,425,629,9581,474,285,5396,5998
"757","64907_2015-16","Los Angeles",1019,286,"12","177",1048,"45",23,392,581,9418,438,285,5322,5792
"758","64907_2016-17","Los Angeles",1230,371,"6","251",1272,"41",31,378,551,9421,399,288,5268,5769
"759","64931_2011-12","Los Angeles",61,23,"9","1",72,"1",1,328,6,262,10,13,308,311
"760","64931_2012-13","Los Angeles",80,20,"27","1",68,"2",1,379,3,260,13,8,324,339
"761","64931_2013-14","Los Angeles",43,9,"15","0",34,"3",0,369,3,237,13,13,305,330
"762","64931_2014-15","Los Angeles",43,11,"17","1",36,"0",0,315,5,241,14,20,289,306
"763","64931_2015-16","Los Angeles",46,7,"13","0",35,"1",4,346,2,271,16,19,290,364
"764","64964_2012-13","Los Angeles",37,2,"14","0",10,"13",2,966,15,151,504,54,791,899
"765","64964_2013-14","Los Angeles",52,4,"22","0",8,"20",6,987,14,154,484,71,796,914
"766","64964_2014-15","Los Angeles",38,3,"18","0",12,"11",0,997,14,171,457,84,796,927
"767","64964_2015-16","Los Angeles",22,3,"9","0",9,"7",0,997,16,154,458,105,789,941
"768","64964_2016-17","Los Angeles",11,1,"3","0",3,"4",2,979,13,125,419,136,758,914
"769","64980_2011-12","Los Angeles",389,181,"10","100",243,"204",13,336,418,1838,2759,374,2729,2996
"770","64980_2012-13","Los Angeles",285,110,"13","84",139,"143",16,335,401,1764,2739,352,2675,2916
"771","64980_2013-14","Los Angeles",181,39,"4","36",81,"85",14,339,405,1722,2712,318,2611,2885
"772","64980_2014-15","Los Angeles",214,62,"6","47",93,"114",16,339,419,1711,2645,313,2615,2812
"773","64980_2015-16","Los Angeles",224,44,"8","54",90,"92",24,326,417,1730,2593,414,2625,2855
"774","64980_2016-17","Los Angeles",221,70,"5","35",138,"96",17,319,370,1664,2526,447,2604,2722
"775","64998_2011-12","Los Angeles",184,20,"12","16",54,"117",5,0,0,0,0,0,0,0
"776","64998_2012-13","Los Angeles",98,12,"2","5",35,"63",5,0,0,0,0,0,0,0
"777","64998_2013-14","Los Angeles",50,8,"3","11",24,"16",4,0,0,0,0,0,0,0
"778","64998_2014-15","Los Angeles",40,2,"1","4",9,"26",2,0,0,0,0,0,0,0
"779","64998_2015-16","Los Angeles",40,4,"1","2",13,"26",2,0,0,0,0,0,0,0
"780","64998_2016-17","Los Angeles",31,1,"0","1",9,"20",2,0,0,0,0,0,0,0
"781","65029_2011-12","Los Angeles",127,18,"40","9",57,"29",10,869,73,518,720,114,1133,1161
"782","65029_2012-13","Los Angeles",84,10,"17","2",32,"41",2,840,74,541,720,125,1115,1185
"783","65029_2013-14","Los Angeles",75,11,"10","2",48,"16",10,848,65,557,699,149,1118,1200
"784","65029_2014-15","Los Angeles",41,21,"13","2",26,"12",9,847,50,557,651,162,1077,1190
"785","65029_2015-16","Los Angeles",93,21,"17","5",41,"41",10,808,52,570,657,185,1050,1222
"786","65029_2016-17","Los Angeles",90,5,"13","5",39,"31",7,807,48,560,637,222,1036,1238
"787","65037_2013-14","Los Angeles",187,46,"0","0",213,"20",0,0,1,717,25,13,386,370
"788","65037_2014-15","Los Angeles",150,34,"0","0",171,"11",0,2,4,701,23,18,366,382
"789","65037_2015-16","Los Angeles",159,46,"0","4",194,"7",0,5,5,694,28,15,350,397
"790","65037_2016-17","Los Angeles",134,29,"0","0",155,"6",2,6,5,648,27,12,328,370
"791","65045_2011-12","Los Angeles",25,1,"0","3",13,"10",0,0,0,0,0,0,0,0
"792","65045_2012-13","Los Angeles",7,1,"1","1",3,"3",0,0,0,0,0,0,0,0
"793","65045_2013-14","Los Angeles",70,15,"1","24",39,"16",5,0,0,0,0,0,0,0
"794","65045_2014-15","Los Angeles",36,4,"4","6",18,"11",1,0,0,0,0,0,0,0
"795","65045_2016-17","Los Angeles",30,4,"0","4",14,"16",0,0,0,0,0,0,0,0
"796","65052_2011-12","Los Angeles",101,25,"52","1",46,"21",5,1933,22,606,377,110,1494,1554
"797","65052_2015-16","Los Angeles",58,7,"21","3",30,"8",3,1991,19,593,310,116,1454,1575
"798","65052_2016-17","Los Angeles",60,5,"26","0",25,"11",2,2049,17,605,267,115,1453,1600
"799","65060_2011-12","Los Angeles",1147,363,"251","156",524,"434",145,3742,622,2959,3862,1519,6263,6441
"800","65060_2012-13","Los Angeles",986,301,"162","164",492,"359",110,3634,658,3122,3661,1609,6267,6417
"801","65060_2013-14","Los Angeles",636,180,"98","110",265,"246",97,3518,644,3359,3348,1594,6144,6319
"802","65060_2014-15","Los Angeles",489,160,"88","76",237,"188",60,3456,560,3406,3107,1703,6068,6164
"803","65060_2015-16","Los Angeles",617,134,"82","107",302,"196",64,3382,533,3475,2977,1762,5988,6141
"804","65060_2016-17","Los Angeles",502,109,"58","67",249,"158",79,3282,525,3580,2797,1795,5943,6036
"805","65094_2011-12","Los Angeles",889,304,"17","86",947,"97",46,566,632,4234,1552,639,3826,3797
"806","65094_2012-13","Los Angeles",589,191,"8","101",594,"47",30,581,620,4217,1389,492,3647,3652
"807","65094_2013-14","Los Angeles",374,90,"8","43",371,"22",20,589,619,4438,1316,454,3766,3650
"808","65094_2014-15","Los Angeles",490,114,"5","71",483,"31",14,617,614,4517,1304,435,3814,3673
"809","65094_2015-16","Los Angeles",414,124,"14","44",422,"46",12,561,497,4556,1103,568,3697,3588
"810","65094_2016-17","Los Angeles",245,96,"7","21",281,"27",5,590,416,4266,814,459,3257,3288
"811","65102_2011-12","Los Angeles",463,105,"9","146",183,"183",47,73,275,762,899,149,1024,1134
"812","65102_2012-13","Los Angeles",385,93,"5","159",135,"148",31,76,266,753,839,142,975,1101
"813","65102_2013-14","Los Angeles",513,113,"4","173",205,"205",39,83,261,813,874,142,1027,1146
"814","65102_2014-15","Los Angeles",399,109,"5","139",162,"161",41,83,270,817,859,132,1027,1134
"815","65102_2015-16","Los Angeles",433,118,"4","155",177,"166",49,83,274,822,813,129,1044,1077
"816","65102_2016-17","Los Angeles",257,100,"4","111",108,"108",26,70,252,925,707,136,1074,1016
"817","65110_2011-12","Los Angeles",458,111,"3","6",509,"27",24,6,7,1339,65,51,690,778
"818","65110_2012-13","Los Angeles",271,56,"1","4",302,"13",7,7,1,1345,62,26,637,804
"819","65110_2013-14","Los Angeles",223,56,"5","1",245,"22",6,6,6,1272,61,31,627,749
"820","65110_2014-15","Los Angeles",113,24,"0","9",113,"11",4,5,10,1221,49,31,615,701
"821","65110_2015-16","Los Angeles",157,53,"0","1",189,"13",7,6,9,1181,42,26,607,657
"822","65110_2016-17","Los Angeles",67,13,"0","0",74,"3",3,4,11,1201,46,24,632,654
"823","65128_2011-12","Los Angeles",433,136,"0","8",474,"73",14,160,160,11022,1960,266,6657,6911
"824","65128_2012-13","Los Angeles",42,37,"0","1",71,"7",0,147,143,11639,1333,224,6628,6858
"825","65128_2013-14","Los Angeles",678,233,"1","15",828,"63",4,134,121,11556,1242,210,6455,6808
"826","65128_2014-15","Los Angeles",589,203,"0","8",723,"54",7,130,111,11417,1118,207,6319,6664
"827","65128_2015-16","Los Angeles",380,168,"2","10",494,"36",6,125,101,10947,1079,258,6074,6436
"828","65128_2016-17","Los Angeles",366,178,"1","10",499,"26",8,132,108,10674,990,216,5878,6242
"829","65136_2011-12","Los Angeles",2836,629,"74","338",1782,"1130",141,1675,1372,8752,12131,2037,12607,13360
"830","65136_2012-13","Los Angeles",2657,564,"65","334",1653,"1012",157,1619,1296,9019,11762,2141,12584,13253
"831","65136_2013-14","Los Angeles",569,197,"12","66",401,"253",34,1605,1130,8770,11318,2205,12059,12969
"832","65136_2014-15","Los Angeles",438,119,"12","41",275,"197",32,1594,1333,10066,10955,2422,12890,13480
"833","65136_2015-16","Los Angeles",334,101,"13","41",193,"166",22,1609,1354,10583,10535,2523,13100,13504
"834","65136_2016-17","Los Angeles",405,129,"15","48",258,"185",28,1654,1263,10504,10148,2777,12960,13386
"835","65169_2011-12","Los Angeles",55,24,"2","26",27,"10",14,45,280,856,152,297,843,787
"836","65169_2012-13","Los Angeles",49,5,"1","20",22,"9",2,76,355,977,251,118,916,861
"837","65169_2013-14","Los Angeles",42,10,"0","14",27,"8",3,73,346,949,258,141,897,870
"838","65185_2015-16","Madera",35,5,"0","*",3,"34",3,3,1,25,151,15,87,108
"839","65185_2016-17","Madera",19,10,"0","*",3,"22",1,3,1,28,146,10,92,96
"840","65193_2011-12","Madera",846,164,"1","21",555,"395",31,9,14,260,161,13,223,234
"841","65193_2013-14","Madera",538,172,"2","45",320,"339",3,2,14,288,161,7,228,244
"842","65193_2015-16","Madera",239,52,"1","19",148,"116",1,4,10,279,169,12,235,239
"843","65201_2011-12","Madera",143,72,"0","8",113,"88",3,9,25,558,357,26,487,488
"844","65201_2012-13","Madera",77,51,"0","5",81,"40",1,11,34,572,374,25,505,511
"845","65201_2014-15","Madera",58,21,"0","3",45,"28",1,16,31,592,365,22,520,506
"846","65201_2015-16","Madera",46,21,"0","3",44,"20",0,16,34,647,369,21,538,549
"847","65243_2011-12","Madera",3856,1512,"16","367",4519,"336",130,115,239,6901,936,137,4074,4254
"848","65243_2012-13","Madera",3088,927,"3","238",3421,"293",60,117,207,6977,853,120,4029,4245
"849","65243_2013-14","Madera",2473,777,"9","134",2826,"235",46,120,220,7068,774,117,3996,4303
"850","65243_2014-15","Madera",2865,1096,"10","215",3394,"291",51,99,203,7340,727,107,4090,4386
"851","65243_2015-16","Madera",2481,786,"6","124",2826,"266",45,99,191,7490,665,105,4136,4414
"852","65243_2016-17","Madera",2038,787,"7","113",2493,"166",46,93,176,7765,597,115,4245,4501
"853","65318_2011-12","Marin",69,6,"1","9",15,"45",4,34,10,56,303,16,209,210
"854","65318_2012-13","Marin",80,15,"5","2",21,"56",4,35,12,51,297,19,206,208
"855","65318_2015-16","Marin",46,8,"0","3",15,"28",8,48,12,75,323,20,234,244
"856","65318_2016-17","Marin",78,4,"2","12",31,"33",3,46,15,75,305,20,224,237
"857","65334_2015-16","Marin",22,0,"0","*",5,"9",8,9,1,28,208,32,125,153
"858","65334_2016-17","Marin",24,3,"4","2",3,"13",4,17,4,31,203,43,116,182
"859","65367_2011-12","Marin",20,3,"0","0",11,"11",1,28,3,34,233,4,159,143
"860","65367_2012-13","Marin",21,1,"5","*",3,"12",2,15,0,39,231,22,144,163
"861","65367_2015-16","Marin",24,1,"0","*",1,"9",14,14,2,48,206,58,157,171
"862","65367_2016-17","Marin",12,0,"1","*",1,"8",2,14,3,43,216,62,168,170
"863","65417_2011-12","Marin",615,172,"6","93",350,"290",48,173,140,1029,2049,232,1814,1809
"864","65417_2012-13","Marin",561,171,"13","98",368,"215",38,168,139,1098,1990,211,1786,1820
"865","65417_2013-14","Marin",317,86,"6","45",161,"164",27,159,133,1140,2024,232,1822,1866
