"","dist_year","Expulsion_Female","Expulsion_Male","Expulsion_Total","Expulsion_Asian","Expulsion_Black","Expulsion_Hispanic","Expulsion_White","Expulsion_Other"
"198","63164_2011-12",0,1,1,0,0,1,0,NA
"199","63172_2011-12",0,0,0,NA,0,0,0,NA
"200","63180_2011-12",1,1,2,0,NA,1,0,NA
"201","63198_2011-12",0,0,0,NA,0,0,0,0
"202","63206_2011-12",0,0,0,0,0,0,0,NA
"203","63214_2011-12",0,1,1,NA,NA,0,0,NA
"204","63222_2011-12",0,0,0,NA,0,0,0,NA
"205","63230_2011-12",0,1,1,NA,NA,1,0,0
"206","63248_2011-12",0,0,0,0,0,0,0,NA
"207","63271_2011-12",0,0,0,0,NA,0,0,NA
"208","63289_2011-12",0,0,0,NA,NA,0,0,NA
"209","63297_2011-12",0,0,0,0,NA,0,0,NA
"210","63305_2011-12",0,0,0,NA,NA,0,0,NA
"211","63313_2011-12",1,8,9,NA,0,8,1,NA
"212","63321_2011-12",21,72,93,1,23,60,7,2
"213","63339_2011-12",0,0,0,0,0,0,0,NA
"214","63347_2011-12",0,0,0,0,0,0,NA,0
"215","63354_2011-12",NA,NA,NA,0,0,NA,NA,NA
"216","63362_2011-12",3,20,23,0,6,11,6,0
"217","63370_2011-12",0,0,0,0,NA,0,0,NA
"218","63388_2011-12",0,0,0,0,NA,0,0,NA
"219","63404_2011-12",0,0,0,0,0,0,0,NA
"220","63412_2011-12",14,51,65,0,0,65,0,NA
"221","63420_2011-12",0,0,0,NA,0,0,0,0
"222","63438_2011-12",0,2,2,NA,1,1,0,NA
"223","63446_2011-12",0,0,0,0,NA,0,0,NA
"224","63461_2011-12",0,0,0,0,0,0,0,NA
"225","63479_2011-12",0,9,9,0,2,3,4,NA
"226","63487_2011-12",0,0,0,NA,NA,0,0,0
"227","63503_2011-12",0,2,2,0,0,2,0,NA
"228","63529_2011-12",0,0,0,0,0,0,0,0
"229","63545_2011-12",0,0,0,NA,0,0,0,NA
"230","63552_2011-12",0,0,0,0,0,0,0,NA
"231","63560_2011-12",0,0,0,0,NA,0,0,NA
"232","63578_2011-12",0,1,1,0,0,1,0,NA
"233","63586_2011-12",0,0,0,0,0,NA,0,NA
"234","63594_2011-12",0,0,0,NA,NA,0,NA,0
"235","63610_2011-12",0,0,0,NA,NA,0,0,NA
"236","63628_2011-12",0,0,0,0,0,0,0,NA
"237","63651_2011-12",0,0,0,0,0,NA,0,NA
"238","63669_2011-12",0,0,0,0,0,NA,0,0
"239","63677_2011-12",17,46,63,0,34,12,13,NA
"240","63685_2011-12",3,13,16,0,2,5,8,1
"241","63693_2011-12",0,0,0,0,0,0,0,0
"242","63719_2011-12",0,0,0,NA,NA,0,0,NA
"243","63750_2011-12",1,0,1,0,0,0,1,0
"244","63768_2011-12",0,0,0,0,0,0,0,NA
"245","63776_2011-12",0,0,0,0,0,0,0,0
"246","63784_2011-12",0,0,0,0,NA,0,0,NA
"247","63792_2011-12",1,3,4,0,1,0,2,NA
"248","63800_2011-12",3,11,14,0,1,8,5,NA
"249","63818_2011-12",4,22,26,NA,NA,13,12,NA
"250","63826_2011-12",18,20,38,0,1,10,26,NA
"251","63834_2011-12",0,0,0,0,0,0,0,NA
"252","63842_2011-12",0,0,0,NA,0,0,0,NA
"253","63859_2011-12",0,0,0,NA,0,0,0,NA
"254","63875_2011-12",1,7,8,0,1,3,3,1
"255","63883_2011-12",0,0,0,0,0,0,0,0
"256","63891_2011-12",1,5,6,NA,1,5,0,NA
"257","63917_2011-12",8,22,30,0,3,22,5,NA
"258","63925_2011-12",4,31,35,0,4,21,10,NA
"259","63933_2011-12",0,0,0,0,NA,0,0,NA
"260","63941_2011-12",0,0,0,0,0,0,0,NA
"261","63958_2011-12",0,0,0,NA,NA,0,0,NA
"262","63966_2011-12",0,2,2,0,1,1,0,NA
"263","63974_2011-12",8,7,15,0,1,8,5,1
"264","63982_2011-12",16,44,60,0,8,39,10,NA
"265","63990_2011-12",0,0,0,0,0,0,0,NA
"266","64014_2011-12",1,8,9,0,0,5,4,NA
"267","64022_2011-12",15,46,61,0,6,11,37,NA
"268","64030_2011-12",1,10,11,0,1,1,4,NA
"269","64048_2011-12",0,0,0,NA,NA,0,0,NA
"270","64055_2011-12",0,0,0,NA,0,0,0,NA
"271","64063_2011-12",0,2,2,NA,NA,0,0,NA
"272","64071_2011-12",0,3,3,NA,NA,2,1,NA
"273","64089_2011-12",1,0,1,0,NA,0,1,NA
"274","64105_2011-12",0,0,0,NA,NA,0,0,NA
"275","64113_2011-12",0,0,0,0,0,0,0,NA
"276","64139_2011-12",0,1,1,NA,1,0,0,NA
"277","64162_2011-12",0,0,0,NA,NA,0,0,NA
"278","64170_2011-12",0,0,0,0,0,0,0,NA
"279","64188_2011-12",0,0,0,0,NA,0,0,NA
"280","64196_2011-12",0,0,0,0,0,0,0,NA
"281","64204_2011-12",0,0,0,NA,NA,0,0,NA
"282","64212_2011-12",0,0,0,0,0,0,0,0
"283","64246_2011-12",3,16,19,0,9,6,3,1
"284","64261_2011-12",0,0,0,0,0,0,0,NA
"285","64279_2011-12",5,28,33,0,1,30,1,NA
"286","64287_2011-12",0,0,0,0,0,0,0,0
"287","64295_2011-12",0,0,0,0,0,0,0,NA
"288","64303_2011-12",5,14,19,0,3,15,1,0
"289","64311_2011-12",1,1,2,1,1,0,0,0
"290","64329_2011-12",2,13,15,0,3,9,3,0
"291","64337_2011-12",3,13,16,1,1,9,5,0
"292","64345_2011-12",2,2,4,0,0,2,2,NA
"293","64352_2011-12",1,17,18,0,8,10,0,0
"294","64378_2011-12",0,0,0,0,0,0,0,0
"295","64394_2011-12",1,1,2,0,0,1,0,1
"296","64436_2011-12",2,13,15,0,2,12,0,NA
"297","64444_2011-12",1,8,9,2,2,4,0,1
"298","64451_2011-12",7,46,53,0,4,45,4,0
"299","64469_2011-12",1,1,2,0,0,2,0,NA
"300","64477_2011-12",0,0,0,0,0,0,0,NA
"301","64485_2011-12",1,4,5,0,0,5,0,0
"302","64501_2011-12",0,1,1,0,0,0,1,NA
"303","64519_2011-12",2,10,12,5,0,7,0,NA
"304","64527_2011-12",5,20,25,0,1,23,1,NA
"305","64535_2011-12",0,0,0,0,0,0,0,0
"306","64550_2011-12",1,4,5,1,0,4,0,NA
"307","64568_2011-12",0,0,0,0,0,0,0,0
"308","64576_2011-12",0,0,0,0,0,0,0,0
"309","64584_2011-12",0,0,0,0,0,0,0,NA
"310","64592_2011-12",1,3,4,0,1,3,0,0
"311","64600_2011-12",0,1,1,0,0,0,1,0
"312","64626_2011-12",0,0,0,0,NA,0,0,NA
