"","dist_year","Expulsion_Females","Expulsion_Males","Expulsion_Other","Expulsion_Asian","Expulsion_Black","Expulsion_White","Expulsion_Hispanic"
"167","10439_2015-16","1","4",0,"0","0","0","5"
"168","10439_2016-17","0","2",0,"0","0","0","2"
"169","10447_2012-13","0","0",0,"0","0","0","0"
"170","10447_2013-14","0","0",0,"0","0","0","0"
"171","10447_2014-15","0","0",0,"0","0","0","0"
"172","10447_2015-16","0","0",0,"0","0","0","0"
"173","10447_2016-17","0","0",0,"0","0","0","0"
"174","10454_2013-14","0","0",0,"*","0","0","0"
"175","10454_2015-16","0","0",0,"*","0","0","0"
"176","10454_2016-17","0","0",0,"*","0","0","0"
"177","10470_2014-15","0","0",0,"*","*","0","0"
"178","10488_2011-12","0","0",0,"0","0","0","0"
"179","10488_2012-13","0","0",0,"0","0","0","0"
"180","10488_2013-14","0","0",0,"0","0","0","0"
"181","10488_2014-15","0","0",0,"0","0","0","0"
"182","10488_2015-16","0","0",0,"0","0","0","0"
"183","10488_2016-17","0","0",0,"0","0","0","0"
"184","10496_2011-12","0","0",0,"0","0","0","0"
"185","10496_2012-13","0","0",0,"0","0","0","0"
"186","10496_2013-14","0","0",0,"0","0","0","0"
"187","10496_2014-15","0","0",0,"0","0","0","0"
"188","10496_2015-16","0","0",0,"0","0","0","0"
"189","10496_2016-17","0","0",0,"0","0","0","0"
"190","10504_2011-12","1","2",0,"0","0","2","1"
"191","10504_2012-13","0","0",0,"0","0","0","0"
"192","10504_2013-14","0","0",0,"0","0","0","0"
"193","10504_2014-15","0","0",0,"0","0","0","0"
"194","10504_2015-16","0","0",0,"0","0","0","0"
"195","10504_2016-17","0","0",0,"0","0","0","0"
"196","10512_2011-12","0","0",0,"0","0","0","0"
"197","10512_2012-13","0","0",0,"0","0","0","0"
"198","10512_2013-14","0","0",0,"0","0","0","0"
"199","10512_2014-15","0","0",0,"0","0","0","0"
"200","10512_2015-16","0","0",0,"0","0","0","0"
"201","10512_2016-17","0","0",0,"0","0","0","0"
"202","10546_2011-12","0","2",0,"0","0","0","2"
"203","10546_2012-13","0","1",0,"0","0","1","0"
"204","10546_2013-14","0","0",0,"0","0","0","0"
"205","10546_2014-15","0","1",0,"0","0","0","1"
"206","10546_2015-16","0","0",0,"0","0","0","0"
"207","10546_2016-17","0","0",0,"0","0","0","0"
"208","10553_2016-17","0","0",0,"*","*","0","0"
"209","10561_2011-12","0","0",0,"0","0","0","0"
"210","10561_2012-13","0","0",0,"0","0","0","0"
"211","10561_2013-14","0","0",0,"0","0","0","0"
"212","10561_2014-15","0","0",0,"0","0","0","0"
"213","10561_2015-16","0","0",0,"0","0","0","0"
"214","10561_2016-17","0","0",0,"0","0","0","0"
"215","10579_2011-12","0","0",0,"*","0","0","0"
"216","10579_2015-16","0","0",0,"0","0","0","0"
"217","10579_2016-17","0","0",0,"0","0","0","0"
"218","10587_2011-12","0","2",0,"0","0","2","0"
"219","10587_2012-13","0","2",0,"0","0","2","0"
"220","10587_2013-14","0","0",0,"0","0","0","0"
"221","10587_2016-17","0","0",0,"0","0","0","0"
"222","31617_2011-12","0","0",0,"0","0","0","0"
"223","31617_2013-14","0","0",0,"0","0","0","0"
"224","31617_2015-16","0","0",0,"0","0","0","0"
"225","31617_2016-17","0","0",0,"0","0","0","0"
"226","32276_2011-12","0","0",0,"0","0","*","0"
"227","32276_2011-12","0","0",0,"0","0","*","0"
"228","32276_2011-12","0","0",0,"0","0","*","0"
"229","32276_2011-12","0","0",0,"0","0","*","0"
"230","32276_2011-12","0","0",0,"0","0","*","0"
"231","32276_2011-12","0","0",0,"0","0","*","0"
"232","32276_2011-12","0","0",0,"0","0","*","0"
"233","32276_2011-12","0","0",0,"0","0","*","0"
"234","32276_2011-12","0","0",0,"0","0","0","0"
"235","32276_2011-12","0","0",0,"0","0","0","0"
"236","32276_2011-12","0","0",0,"0","0","0","0"
"237","32276_2011-12","0","0",0,"0","0","0","0"
"238","32276_2011-12","0","0",0,"0","0","0","0"
"239","32276_2011-12","0","0",0,"0","0","0","0"
"240","32276_2011-12","0","0",0,"0","0","0","0"
"241","32276_2011-12","0","0",0,"0","0","0","0"
"242","32276_2011-12","0","0",0,"0","0","*","0"
"243","32276_2011-12","0","0",0,"0","0","*","0"
"244","32276_2011-12","0","0",0,"0","0","*","0"
"245","32276_2011-12","0","0",0,"0","0","*","0"
"246","32276_2011-12","0","0",0,"0","0","*","0"
"247","32276_2011-12","0","0",0,"0","0","*","0"
"248","32276_2011-12","0","0",0,"0","0","*","0"
"249","32276_2011-12","0","0",0,"0","0","*","0"
"250","32276_2011-12","0","0",0,"0","0","0","0"
"251","32276_2011-12","0","0",0,"0","0","0","0"
"252","32276_2011-12","0","0",0,"0","0","0","0"
"253","32276_2011-12","0","0",0,"0","0","0","0"
"254","32276_2011-12","0","0",0,"0","0","0","0"
