"","dist_year","enroll_asian","enroll_black","enroll_hisp","enroll_white","enroll_other","enroll_female","enroll_male","EnglishLearner","FreeReduced","Foster","ucCsu_asian","ucCsu_black","ucCsu_hisp","ucCsu_white","ucCsu_other","ucCsu_female","ucCsu_male","enroll_total","ucCsu_total"
"89","70540_2013-14",478,1776,3486,1747,2197,4712,4972,8907,22180,128,39,47,116,90,153,270,175,9684,5242
"90","70540_2014-15",514,1721,3540,1715,2062,4650,4902,7955,24931,166,39,43,94,76,138,250,140,9552,5152
"91","70540_2015-16",550,1711,3693,1751,1937,4697,4945,7618,20840,184,51,54,124,102,161,287,205,9642,5232
"92","70540_2016-17",544,1690,3834,1694,1855,4649,4968,6775,23016,129,46,61,143,102,134,288,198,9617,5256
"93","70730_2013-14",8,11,83,198,14,170,144,893,2155,3,1,0,2,6,1,6,4,314,150
"94","70730_2014-15",9,8,89,184,10,158,142,488,2071,2,0,0,1,5,0,5,1,300,147
"95","70730_2015-16",10,7,94,177,29,190,127,378,1954,0,0,0,1,1,0,2,0,317,129
"96","70920_2013-14",574,291,4885,4448,850,5476,5572,2596,12612,55,58,8,110,334,35,305,240,11048,5877
"97","70920_2014-15",573,267,5018,4383,865,5544,5562,3479,13433,90,36,11,117,308,30,297,205,11106,5859
"98","70920_2015-16",596,236,5181,4227,916,5537,5619,2836,10948,99,45,6,139,267,36,264,229,11156,5883
"99","70920_2016-17",615,249,5347,4008,904,5540,5583,3895,8824,77,60,9,117,265,41,301,191,11123,5884
"100","71860_2014-15",12,2,1629,32,72,887,860,2205,8092,10,1,0,76,2,6,56,29,1747,916
"101","72140_2015-16",6,8,404,118,16,276,276,1225,1154,6,0,0,0,0,0,0,0,552,276
"102","72470_2014-15",10,16,134,201,12,186,187,143,986,1,0,0,0,0,0,0,0,373,187
"103","72520_2013-14",34,15,470,781,37,662,675,3525,5501,7,4,0,19,50,4,35,42,1337,710
"104","72520_2015-16",21,14,417,780,44,632,644,3179,4797,11,0,0,0,0,0,0,0,1276,644
"105","72520_2016-17",23,12,426,728,44,601,632,3365,4930,10,4,4,52,88,7,85,70,1233,717
"106","72710_2013-14",226,48,2869,1182,115,2180,2260,3754,13686,30,27,4,159,102,5,178,119,4440,2438
"107","72710_2014-15",226,47,2940,1141,126,2187,2293,4702,13636,54,21,1,157,85,4,153,115,4480,2446
"108","72710_2015-16",215,60,2990,1088,144,2205,2292,4095,13006,58,17,0,133,85,10,136,109,4497,2428
"109","72710_2016-17",222,63,3006,1033,164,2247,2241,3575,13003,56,17,5,160,94,11,184,103,4488,2425
"110","73460_2013-14",4958,238,1790,813,624,4083,4340,6836,10348,30,704,16,129,58,74,512,469,8423,4852
"111","73460_2014-15",4933,214,1785,801,640,4029,4344,4368,9981,34,662,15,138,65,64,497,447,8373,4841
"112","73460_2015-16",4783,210,1766,752,648,3922,4237,3796,11758,47,657,22,112,86,66,467,476,8159,4704
"113","73460_2016-17",4650,191,1811,697,692,3882,4159,3804,9365,30,659,10,133,78,72,523,429,8041,4682
"114","73650_2013-14",6050,322,1385,4828,1097,6560,7122,9539,25678,19,639,18,76,442,91,662,604,13682,7784
"115","73650_2014-15",6439,328,1417,4905,1146,6802,7433,8696,27120,33,825,20,87,495,131,785,773,14235,8218
"116","73650_2015-16",6756,327,1441,4946,1184,6970,7684,8154,26016,28,797,20,92,474,106,759,730,14654,8443
"117","73650_2016-17",7090,350,1488,4960,1326,7299,7915,7108,26881,25,806,14,79,530,121,823,727,15214,8738
"118","73890_2013-14",10,105,238,372,87,368,444,1327,4405,1,0,0,0,0,0,0,0,812,444
"119","73890_2014-15",12,103,227,322,89,368,385,2043,5272,6,1,5,7,6,4,17,6,753,402
"120","73890_2015-16",16,103,220,299,72,338,372,906,4497,5,1,4,6,4,2,9,8,710,381
"121","73890_2016-17",10,107,230,285,105,354,383,1550,5451,12,1,2,9,12,2,14,12,737,397
"122","73940_2013-14",193,57,1303,1657,140,1639,1711,601,6819,9,17,3,62,199,20,159,142,3350,1870
"123","73940_2014-15",185,57,1329,1523,158,1603,1649,1405,6639,17,27,1,49,151,20,141,107,3252,1790
"124","73940_2015-16",185,61,1350,1485,158,1606,1633,1054,6266,15,29,2,70,189,22,170,142,3239,1803
"125","73940_2016-17",174,58,1339,1385,170,1579,1547,1360,6909,15,24,8,73,168,20,172,121,3126,1719
"126","75200_2013-14",533,768,3872,5593,1242,5864,6144,7083,14980,59,57,51,268,480,130,547,439,12008,6691
"127","75200_2014-15",601,707,3914,5498,1243,5842,6121,8135,14020,104,95,63,268,474,107,573,434,11963,6694
"128","75200_2015-16",608,693,4006,5487,1270,5893,6171,7786,14625,93,74,67,294,535,125,622,473,12064,6793
"129","75200_2016-17",645,684,4129,5342,1360,5925,6235,8044,13796,110,74,57,336,533,139,642,497,12160,6877
"130","75390_2013-14",9,7,537,372,13,429,509,846,3347,8,1,0,25,28,0,29,25,938,538
"131","75390_2016-17",12,7,493,340,15,412,455,2308,3893,9,1,0,31,30,1,27,36,867,482
"132","75440_2013-14",12,6,2044,58,41,1038,1123,1834,6707,8,1,0,58,3,4,39,27,2161,1162
"133","75440_2015-16",15,13,2057,54,38,1037,1140,1637,6388,24,0,0,89,3,4,58,38,2177,1198
"134","75580_2013-14",16,13,350,556,25,432,528,1948,4897,37,2,0,19,38,0,33,26,960,561
"135","75580_2014-15",22,17,346,558,29,447,525,1764,3806,33,0,0,19,26,1,25,21,972,550
"136","75580_2015-16",20,15,329,543,26,428,505,2181,4968,36,1,1,16,33,0,34,17,933,539
"137","75580_2016-17",22,16,357,502,31,430,498,2094,5040,37,0,0,18,36,0,29,25,928,527
"138","76760_2015-16",356,133,287,387,333,737,759,3116,3751,9,1,1,2,4,4,5,7,1496,764
"139","76760_2016-17",492,141,322,402,398,879,876,2495,4334,15,29,10,14,14,28,49,46,1755,925
"140","76950_2016-17",3,3,140,100,17,147,116,341,429,1,1,0,0,5,0,4,2,263,120
