"","dist_year","enroll_asian","enroll_black","enroll_hisp","enroll_white","enroll_other","enroll_female","enroll_male","do_asian","do_black","do_hisp","do_white","do_other","do_female","do_male","EnglishLearner","FreeReduced","Foster","ucCsu_asian","ucCsu_black","ucCsu_hisp","ucCsu_white","ucCsu_other","ucCsu_female","ucCsu_male","Expulsion_Asian","Expulsion_Black","Expulsion_White","Expulsion_Hispanic","Expulsions_Males","Expulsions_Females","Expulsion_Other","County","Male.Suspensions","Female.Suspensions","AsianSuspensions","BlackSuspensions","HispanicSuspensions","WhiteSuspensoins","OtherSuspensions","ucCsu_total","do_total","exp_tot","sus_tot","enroll_tot"
"36","66670_2013-14",860,105,22903,1173,369,12989,12421,4,1,360,9,3,159,218,24181,48581,147,133,13,1360,161,27,1023,671,"0","0","1",58,54,5,0,"Orange",3216,992,"19","20",4090,"43",36,1694,377,59,4208,25410
"37","66670_2014-15",820,96,22784,1151,372,12924,12299,3,1,240,3,0,98,149,25379,57111,262,121,11,1393,179,61,1114,651,"1","0","0",34,29,6,0,"Orange",2517,824,"18","22",3251,"37",13,1765,247,35,3341,25223
"38","66670_2015-16",836,86,22600,1153,439,12959,12155,2,1,144,7,0,62,92,22749,59329,219,102,9,1439,188,39,1085,692,"0","1","0",26,22,5,0,"Orange",2055,662,"5","16",2650,"27",19,1777,154,27,2717,25114
"39","66670_2016-17",892,75,22422,1144,455,12874,12114,6,2,200,2,2,84,128,21023,56503,226,128,8,1460,165,45,1112,694,"0","1","1",27,25,5,1,"Orange",2097,646,"20","15",2654,"30",24,1806,212,30,2743,24988
"40","67090_2013-14",91,208,7399,1085,135,4391,4527,3,3,149,23,5,83,100,6892,20028,122,11,6,276,53,8,212,142,"1","3","5",43,35,17,0,"Riverside",1075,317,"7","72",1103,"178",32,354,183,52,1392,8918
"41","67090_2014-15",86,194,7504,970,116,4365,4505,1,3,77,2,1,30,54,5883,20560,155,8,6,306,47,6,228,145,"0","1","6",31,30,8,0,"Riverside",827,240,"0","54",851,"138",24,373,84,38,1067,8870
"42","67090_2015-16",90,193,7512,935,135,4375,4490,1,1,75,14,0,32,59,6709,20813,154,9,9,327,60,8,264,149,"2","2","3",37,39,8,3,"Riverside",820,210,"7","45",836,"111",31,413,91,47,1030,8865
"43","67090_2016-17",89,194,7580,861,155,4367,4512,0,4,64,10,2,32,48,6448,21319,112,8,14,399,56,8,290,195,"0","2","3",51,40,17,1,"Riverside",774,242,"6","50",828,"117",15,485,80,57,1016,8879
"44","67330_2013-14",896,649,1438,5123,554,4134,4526,2,15,11,26,9,27,36,9651,21531,34,96,21,79,376,29,319,282,"1","13","29",18,50,16,5,"Sacramento",1437,455,"23","570",413,"724",162,601,63,66,1892,8660
"45","67330_2014-15",997,633,1542,5139,590,4261,4640,0,9,14,29,5,15,42,8068,25011,55,100,22,53,400,35,310,300,"1","10","19",12,30,14,2,"Sacramento",1305,441,"48","547",357,"657",137,610,57,44,1746,8901
"46","67330_2015-16",1106,587,1667,5161,650,4458,4713,0,11,13,31,3,21,37,8439,24043,59,113,24,67,382,52,343,295,"0","9","11",5,19,12,6,"Sacramento",1418,508,"36","531",433,"713",213,638,58,31,1926,9171
"47","67330_2016-17",1217,571,1754,5198,749,4691,4798,1,5,9,13,3,12,19,7788,21071,87,116,21,76,443,60,381,335,"0","12","9",8,24,8,3,"Sacramento",1209,367,"33","369",397,"594",183,716,31,32,1576,9489
"48","67710_2013-14",209,1324,15692,929,451,8901,9704,2,21,222,12,2,116,143,12487,35112,294,20,62,738,62,30,531,381,"0","2","0",7,7,2,0,"San Bernardino",4888,1773,"24","1011",5188,"337",101,912,259,9,6661,18605
"49","67710_2014-15",210,1226,15667,877,463,8810,9633,1,20,233,20,1,95,180,11049,39619,322,17,56,846,50,53,568,454,"0","4","0",14,16,2,0,"San Bernardino",3542,1290,"15","788",3707,"252",70,1022,275,18,4832,18443
"50","67710_2015-16",224,1170,15434,822,420,8672,9398,0,13,171,13,1,58,140,10959,44276,338,20,62,944,47,43,665,451,"0","4","2",13,16,3,0,"San Bernardino",1916,558,"11","482",1789,"133",59,1116,198,19,2474,18070
"51","67710_2016-17",200,1100,15336,762,425,8596,9227,1,6,176,9,2,63,131,10696,44440,337,25,67,1033,52,47,725,499,"1","1","1",31,28,6,0,"San Bernardino",2212,677,"10","376",2235,"188",80,1224,194,34,2889,17823
"52","67850_2013-14",125,1589,9742,579,268,6040,6263,2,42,206,20,6,107,169,6963,23159,258,11,35,278,27,7,219,139,"0","9","3",35,44,5,2,"San Bernardino",3693,1334,"14","1381",3282,"234",116,358,276,49,5027,12303
"53","67850_2014-15",128,1484,9875,515,256,6055,6203,1,36,191,14,4,106,140,6803,26041,291,22,67,508,26,12,396,239,"0","0","0",0,0,0,0,"San Bernardino",2169,694,"4","780",1835,"160",84,635,246,0,2863,12258
"54","67850_2015-16",107,1356,9823,474,251,5950,6061,1,29,118,12,3,64,99,6863,29107,261,6,64,506,30,14,383,237,"0","7","1",24,27,5,0,"San Bernardino",2007,631,"2","615",1841,"107",73,620,163,32,2638,12011
"55","67850_2016-17",113,1234,9827,436,250,5832,6028,1,32,115,6,5,69,90,7035,25701,262,17,68,509,22,14,367,263,"0","0","0",2,2,0,0,"San Bernardino",2192,838,"12","650",2124,"151",93,630,159,2,3030,11860
"56","68130_2013-14",370,1622,7842,10425,2296,10865,11690,3,33,134,207,46,169,254,4858,11048,91,46,159,631,1162,216,1230,984,"1","20","39",57,112,15,10,"San Diego",1037,322,"7","237",456,"533",126,2214,423,127,1359,22555
"57","68130_2014-15",389,1623,7889,10067,2252,10745,11475,4,27,116,91,31,93,176,4830,14429,98,60,125,526,837,223,1004,767,"2","11","37",24,69,10,5,"San Diego",1048,278,"7","248",420,"537",114,1771,269,79,1326,22220
"58","68130_2015-16",446,1580,8172,9498,2164,10516,11344,5,18,80,68,21,75,117,4986,16265,87,62,134,585,823,178,987,795,"2","17","35",33,78,18,9,"San Diego",999,255,"20","251",449,"410",124,1782,192,96,1254,21860
"59","68130_2016-17",479,1477,8403,9249,2101,10475,11234,6,28,169,115,21,115,224,5536,16618,76,61,135,729,1003,242,1243,927,"1","17","35",48,88,25,12,"San Diego",1106,317,"20","230",527,"531",115,2170,339,113,1423,21709
"60","68650_2013-14",45,50,545,967,107,833,881,0,1,14,12,1,13,15,4349,3595,12,3,2,24,49,5,48,35,"0","1","1",3,5,0,0,"San Joaquin",356,97,"1","12",218,"210",12,83,28,5,453,1714
"61","68650_2014-15",51,61,583,1005,147,960,887,3,2,8,11,6,14,16,3248,4514,7,3,3,18,39,6,36,33,"0","1","0",1,2,0,0,"San Joaquin",178,51,"3","5",95,"116",10,69,30,2,229,1847
"62","68700_2014-15",33,38,573,1445,101,1041,1149,0,1,1,4,0,1,5,4610,7603,32,2,2,19,117,10,80,70,"0","0","1",2,2,1,0,"San Luis Obispo",167,51,"0","10",72,"125",11,150,6,3,218,2190
"63","68700_2015-16",35,40,620,1429,104,1086,1142,0,0,4,6,1,5,6,4158,7638,38,5,1,20,114,5,77,68,"0","0","6",4,10,0,0,"San Luis Obispo",261,82,"0","12",131,"188",12,145,11,10,343,2228
"64","68700_2016-17",38,38,631,1402,104,1068,1145,0,2,9,5,1,8,9,4474,8590,48,5,0,28,84,0,67,50,"0","0","7",4,10,2,1,"San Luis Obispo",249,52,"2","13",102,"171",13,117,17,12,301,2213
"65","68890_2013-14",25,7,692,734,67,750,775,0,0,17,3,0,4,16,904,4239,8,3,1,29,73,7,61,52,"0","0","0",2,2,0,0,"San Mateo",142,50,"0","0",132,"53",2,113,20,2,192,1525
"66","68890_2015-16",29,9,759,705,80,756,826,0,1,7,4,0,3,9,688,4199,4,4,1,42,79,13,71,68,"0","0","0",0,0,0,0,"San Mateo",136,47,"4","1",127,"48",1,139,12,0,183,1582
"67","68890_2016-17",26,8,777,673,75,754,805,0,0,9,3,0,5,7,653,3776,4,4,1,40,84,7,80,56,"1","0","0",1,2,0,0,"San Mateo",76,31,"2","0",57,"46",2,136,12,2,107,1559
"68","69070_2013-14",434,91,1982,324,1604,2126,2309,2,1,17,4,3,10,17,3442,8470,19,50,4,76,21,124,158,117,"0","0","0",17,24,0,7,"San Mateo",678,130,"16","67",539,"56",130,275,27,24,808,4435
"69","69070_2014-15",407,76,1945,324,1523,2042,2233,0,0,9,0,7,2,14,4681,9594,39,43,4,86,20,136,158,131,"0","1","1",25,24,8,5,"San Mateo",606,213,"19","38",533,"59",170,289,16,32,819,4275
"70","69070_2015-16",401,58,1930,297,1502,2035,2153,2,3,20,1,7,16,17,4464,9826,27,0,0,0,0,0,0,0,"0","0","0",5,5,2,2,"San Mateo",504,233,"20","27",501,"48",141,0,33,7,737,4188
"71","69070_2016-17",439,66,1923,285,1459,2043,2129,2,0,18,3,2,10,15,4284,10384,26,22,0,53,5,59,75,64,"0","0","0",10,7,6,3,"San Mateo",697,351,"24","75",698,"71",180,139,25,13,1048,4172
"72","69260_2013-14",57,33,637,852,92,814,857,0,0,0,0,0,0,0,2388,4850,26,0,1,22,41,4,30,38,"0","0","0",0,0,0,0,"Santa Barbara",187,43,"4","17",99,"95",15,68,0,0,230,1671
"73","69260_2014-15",58,22,647,842,114,817,866,0,0,1,0,0,1,0,2315,4684,35,2,0,4,15,3,13,11,"0","0","0",4,4,0,0,"Santa Barbara",152,20,"2","7",69,"77",17,24,1,4,172,1683
"74","69260_2016-17",47,14,700,827,140,875,853,0,0,0,1,0,0,1,2426,4403,20,1,0,4,13,0,8,10,"0","0","0",0,0,0,0,"Santa Barbara",195,40,"0","3",110,"110",12,18,1,0,235,1728
"75","69310_2013-14",66,80,6306,915,353,3701,4019,0,3,215,16,7,96,145,1483,1800,57,10,2,286,73,49,252,168,"0","1","1",4,6,0,0,"Santa Barbara",822,220,"5","29",902,"92",14,420,241,6,1042,7720
"76","69310_2014-15",72,101,6411,878,320,3745,4037,0,1,114,11,3,49,80,1474,4937,52,9,5,296,88,33,259,172,"0","0","0",12,8,4,0,"Santa Barbara",711,193,"3","34",760,"84",23,431,129,12,904,7782
"77","69310_2015-16",78,95,6590,830,307,3844,4056,0,0,91,11,2,36,68,1696,4189,42,11,3,333,60,34,268,173,"0","0","0",9,9,0,0,"Santa Barbara",396,142,"2","15",449,"58",14,441,104,9,538,7900
"78","69310_2016-17",70,80,6599,780,329,3825,4033,1,5,140,8,4,53,105,1601,4270,33,6,3,267,52,32,220,140,"0","0","0",1,1,0,0,"Santa Barbara",412,155,"0","9",493,"45",20,360,158,1,567,7858
"79","70540_2013-14",478,1776,3486,1747,2197,4712,4972,2,23,33,24,20,38,64,8907,22180,128,39,47,116,90,153,270,175,"0","28","6",29,55,12,4,"Solano",3190,1177,"56","1738",1396,"701",474,445,102,67,4367,9684
"80","70540_2014-15",514,1721,3540,1715,2062,4650,4902,1,20,36,22,17,41,55,7955,24931,166,39,43,94,76,138,250,140,"0","18","3",23,35,12,3,"Solano",2637,985,"62","1330",1343,"505",382,390,96,47,3622,9552
