"","dist_year","enroll_asian","enroll_black","enroll_hisp","enroll_white","enroll_other","enroll_female","enroll_male"
"2366","66597_2014-15",436,119,4414,5056,327,4891,5461
"2367","66597_2015-16",458,109,4416,5037,341,4874,5487
"2368","66597_2016-17",514,111,4433,5068,349,5008,5467
"2369","66613_2011-12",276,27,724,986,133,1027,1119
"2370","66613_2012-13",289,30,755,991,128,1027,1166
"2371","66613_2013-14",277,21,740,947,126,992,1119
"2372","66613_2014-15",287,19,740,892,128,1009,1057
"2373","66613_2015-16",312,26,756,861,153,1033,1075
"2374","66613_2016-17",322,24,736,841,153,1019,1057
"2375","66621_2011-12",1470,214,6877,5130,638,6963,7366
"2376","66621_2012-13",1425,218,6816,4971,673,6786,7317
"2377","66621_2013-14",1403,225,6959,4700,689,6800,7176
"2378","66621_2014-15",1337,217,7047,4574,695,6716,7154
"2379","66621_2015-16",1325,212,7022,4380,697,6589,7047
"2380","66621_2016-17",1353,211,7025,4203,726,6528,6990
"2381","66647_2011-12",1484,257,4352,6183,377,6099,6554
"2382","66647_2012-13",1529,232,4382,6017,412,6072,6500
"2383","66647_2013-14",1531,233,4598,5753,505,6107,6513
"2384","66647_2014-15",1587,216,4669,5523,559,6084,6470
"2385","66647_2015-16",1715,192,4782,5365,589,6139,6504
"2386","66647_2016-17",1830,195,4854,5057,663,6066,6533
"2387","66670_2011-12",883,132,22851,1172,296,12986,12348
"2388","66670_2012-13",881,125,22867,1163,332,12973,12395
"2389","66670_2013-14",860,105,22903,1173,369,12989,12421
"2390","66670_2014-15",820,96,22784,1151,372,12924,12299
"2391","66670_2015-16",836,86,22600,1153,439,12959,12155
"2392","66670_2016-17",892,75,22422,1144,455,12874,12114
"2393","66696_2011-12",0,0,0,0,0,0,0
"2394","66696_2012-13",0,0,0,0,0,0,0
"2395","66696_2013-14",0,0,0,0,0,0,0
"2396","66696_2014-15",0,0,0,0,0,0,0
"2397","66696_2015-16",0,0,0,0,0,0,0
"2398","66696_2016-17",0,0,0,0,0,0,0
"2399","66746_2011-12",703,32,841,261,85,955,967
"2400","66746_2012-13",805,20,849,256,79,1013,996
"2401","66746_2013-14",861,20,881,252,90,1042,1062
"2402","66746_2014-15",841,15,856,258,106,1035,1041
"2403","66746_2015-16",871,11,841,255,92,1045,1025
"2404","66746_2016-17",907,11,839,242,94,1023,1070
"2405","66761_2011-12",0,0,17,81,5,55,48
"2406","66761_2012-13",0,2,12,88,4,60,46
"2407","66761_2013-14",1,2,10,88,3,54,50
"2408","66761_2014-15",1,0,13,90,8,45,67
"2409","66761_2015-16",2,0,13,87,8,49,61
"2410","66761_2016-17",3,0,13,93,6,58,57
"2411","66787_2011-12",6,7,93,391,27,247,277
"2412","66787_2012-13",4,5,97,372,27,250,255
"2413","66787_2013-14",6,7,90,326,32,236,225
"2414","66787_2014-15",5,8,105,308,30,223,233
"2415","66787_2015-16",5,5,109,311,22,205,247
"2416","66787_2016-17",6,7,113,313,33,233,239
"2417","66795_2011-12",2,2,44,194,17,118,141
"2418","66795_2012-13",2,6,52,190,22,133,139
"2419","66795_2013-14",3,1,23,200,14,116,125
"2420","66795_2014-15",0,0,11,54,8,36,37
"2421","66795_2015-16",0,0,7,46,12,30,35
"2422","66795_2016-17",0,1,5,45,8,24,35
"2423","66803_2011-12",127,91,252,1085,167,872,850
"2424","66803_2012-13",125,91,278,1066,153,833,880
"2425","66803_2013-14",134,81,297,1073,182,839,928
"2426","66803_2014-15",119,66,302,1030,180,833,864
"2427","66803_2015-16",136,77,295,948,181,802,835
"2428","66803_2016-17",144,79,283,899,199,785,819
"2429","66829_2011-12",77,10,99,702,49,450,487
"2430","66829_2012-13",81,15,91,654,84,454,471
"2431","66829_2013-14",88,12,75,668,79,454,468
"2432","66829_2014-15",86,9,77,653,57,431,451
"2433","66829_2015-16",73,8,82,642,58,441,422
"2434","66829_2016-17",79,14,88,640,97,460,458
"2435","66837_2011-12",0,1,11,79,5,46,50
"2436","66837_2012-13",0,1,9,80,7,48,49
"2437","66837_2013-14",1,1,13,70,9,47,47
"2438","66837_2014-15",2,1,13,65,12,43,50
"2439","66837_2015-16",1,1,10,74,11,44,53
"2440","66837_2016-17",0,2,12,66,8,41,47
"2441","66845_2011-12",8,5,50,623,37,324,399
"2442","66845_2012-13",11,4,55,653,40,349,414
"2443","66845_2013-14",16,7,78,700,44,399,446
"2444","66845_2014-15",17,11,89,737,49,442,461
"2445","66845_2015-16",22,8,124,838,52,525,519
"2446","66845_2016-17",24,7,153,864,70,548,570
"2447","66852_2011-12",2,1,8,81,8,46,54
"2448","66852_2012-13",0,0,14,96,14,64,60
"2449","66852_2013-14",1,4,19,175,14,118,95
"2450","66852_2014-15",2,2,17,190,17,109,119
"2451","66852_2015-16",19,2,27,241,28,167,150
"2452","66852_2016-17",40,6,57,292,53,228,220
"2453","66886_2011-12",1,2,22,186,13,105,119
"2454","66886_2012-13",0,4,21,173,11,96,113
"2455","66886_2013-14",0,1,15,176,10,91,111
"2456","66886_2014-15",1,2,11,174,7,102,93
"2457","66886_2015-16",0,1,16,151,11,93,86
"2458","66886_2016-17",1,0,13,148,10,82,90
"2459","66894_2011-12",37,23,527,3452,345,2130,2254
"2460","66894_2012-13",33,26,513,3399,358,2062,2267
"2461","66894_2013-14",29,30,542,3290,379,2049,2221
"2462","66894_2014-15",24,26,524,3192,371,2041,2096
"2463","66894_2015-16",28,28,542,3143,363,2002,2102
"2464","66894_2016-17",24,26,559,3101,364,1979,2095
"2465","66910_2011-12",131,76,406,1267,180,1023,1037
"2466","66910_2012-13",136,83,403,1336,182,1048,1092
"2467","66910_2013-14",132,71,395,1341,189,1055,1073
"2468","66910_2014-15",129,51,421,1305,191,1006,1091
"2469","66910_2015-16",150,57,448,1340,209,1053,1151
"2470","66910_2016-17",168,56,476,1315,317,1134,1198
"2471","66928_2011-12",663,401,1642,6392,960,4954,5104
"2472","66928_2012-13",700,377,1766,6298,1065,5047,5159
"2473","66928_2013-14",709,384,1779,6256,1112,5032,5208
"2474","66928_2014-15",745,386,1818,6168,1106,4970,5253
"2475","66928_2015-16",791,388,1848,6100,1073,4999,5201
"2476","66928_2016-17",842,403,1846,6074,1039,4998,5206
"2477","66944_2011-12",9,8,538,1000,43,843,755
"2478","66944_2012-13",11,10,540,950,35,791,755
"2479","66944_2013-14",10,6,576,944,38,761,813
"2480","66944_2014-15",12,9,597,939,48,785,820
"2481","66944_2015-16",7,8,633,1010,57,826,889
"2482","66944_2016-17",9,6,666,1048,67,864,932
"2483","66951_2011-12",116,117,1004,2749,258,2131,2113
"2484","66951_2012-13",106,114,1053,2700,304,2170,2107
"2485","66951_2013-14",106,117,1069,2528,293,2092,2021
"2486","66951_2014-15",120,112,1157,2602,287,2161,2117
"2487","66951_2015-16",119,89,1181,2518,348,2122,2133
"2488","66951_2016-17",149,109,1097,2482,357,2070,2124
"2489","66969_2011-12",10,18,142,812,65,514,533
"2490","66969_2012-13",11,11,149,768,74,483,530
"2491","66969_2013-14",5,12,138,755,85,473,522
"2492","66969_2014-15",6,4,122,763,90,472,513
"2493","66969_2015-16",7,10,137,755,96,499,506
"2494","66969_2016-17",6,11,150,733,109,510,499
"2495","66977_2011-12",331,381,6824,1129,315,4362,4618
"2496","66977_2012-13",331,377,7001,1015,321,4416,4629
"2497","66977_2013-14",310,373,6944,970,320,4415,4502
"2498","66977_2014-15",322,378,7007,950,336,4376,4617
"2499","66977_2015-16",335,376,7185,929,344,4463,4706
"2500","66977_2016-17",313,343,7117,940,312,4329,4696
"2501","66985_2011-12",129,199,1192,301,161,954,1028
"2502","66985_2012-13",138,199,1222,287,166,963,1049
"2503","66985_2013-14",116,190,1215,270,142,929,1004
"2504","66985_2014-15",106,197,1236,289,135,917,1046
"2505","66985_2015-16",106,199,1231,268,128,918,1014
"2506","66985_2016-17",103,174,1268,256,142,926,1017
"2507","66993_2011-12",111,242,1898,1418,245,1891,2023
"2508","66993_2012-13",112,235,1919,1456,255,1938,2039
"2509","66993_2013-14",115,235,2044,1440,271,2024,2081
"2510","66993_2014-15",109,255,2081,1385,280,2000,2110
"2511","66993_2015-16",114,283,2117,1427,307,2072,2176
"2512","66993_2016-17",127,301,2237,1450,306,2170,2251
"2513","67033_2011-12",1748,1849,12875,8255,1208,12730,13205
"2514","67033_2012-13",1910,1858,12968,8022,1159,12705,13212
"2515","67033_2013-14",1899,1849,13144,7852,1240,12667,13317
"2516","67033_2014-15",2026,1792,13177,7589,1331,12663,13252
"2517","67033_2015-16",2121,1763,13196,7373,1408,12641,13220
"2518","67033_2016-17",2242,1715,13283,7040,1463,12613,13130
"2519","67058_2011-12",263,329,9504,3573,332,6845,7156
"2520","67058_2012-13",258,311,9521,3440,348,6766,7112
"2521","67058_2013-14",248,282,9880,3334,353,6914,7183
"2522","67058_2014-15",256,254,9947,3156,398,6863,7148
"2523","67058_2015-16",272,286,9937,3002,400,6768,7129
"2524","67058_2016-17",286,275,10173,2923,438,6886,7209
"2525","67082_2011-12",156,853,5075,3963,560,5134,5473
"2526","67082_2012-13",147,864,5149,3724,565,5025,5424
"2527","67082_2013-14",152,864,5211,3480,593,4993,5307
"2528","67082_2014-15",140,857,5276,3325,574,4902,5270
"2529","67082_2015-16",131,877,5484,3178,598,4948,5320
"2530","67082_2016-17",134,887,5822,3018,633,5080,5414
"2531","67090_2011-12",103,273,7456,1295,130,4526,4731
"2532","67090_2012-13",100,237,7299,1193,139,4374,4594
"2533","67090_2013-14",91,208,7399,1085,135,4391,4527
"2534","67090_2014-15",86,194,7504,970,116,4365,4505
"2535","67090_2015-16",90,193,7512,935,135,4375,4490
"2536","67090_2016-17",89,194,7580,861,155,4367,4512
"2537","67116_2011-12",66,161,978,954,173,1142,1190
"2538","67116_2012-13",55,171,1012,1013,183,1211,1223
"2539","67116_2013-14",65,188,1087,1099,204,1256,1387
"2540","67116_2014-15",62,165,1135,1168,237,1331,1436
"2541","67116_2015-16",63,154,1163,1174,254,1336,1472
"2542","67116_2016-17",63,191,1208,1207,270,1447,1492
"2543","67124_2011-12",377,3193,10573,1782,729,8128,8526
"2544","67124_2012-13",321,3007,10449,1667,667,7972,8139
"2545","67124_2013-14",337,2857,10492,1559,644,7874,8015
"2546","67124_2014-15",330,2667,10557,1466,664,7735,7949
"2547","67124_2015-16",339,2509,10664,1375,694,7630,7951
"2548","67124_2016-17",335,2302,10781,1297,679,7467,7927
"2549","67157_2011-12",5,49,582,244,29,484,425
"2550","67157_2012-13",14,42,620,273,32,515,466
"2551","67157_2013-14",11,57,663,243,28,552,450
"2552","67157_2014-15",14,84,762,197,30,594,493
"2553","67157_2015-16",23,29,715,196,28,551,440
"2554","67157_2016-17",12,21,765,187,45,566,464
"2555","67173_2011-12",116,637,7745,1983,444,5341,5584
"2556","67173_2012-13",128,632,7798,1762,459,5289,5490
"2557","67173_2013-14",129,613,7753,1681,476,5226,5426
"2558","67173_2014-15",122,614,7832,1597,514,5254,5425
"2559","67173_2015-16",111,617,7984,1517,512,5268,5473
"2560","67173_2016-17",106,579,8124,1427,524,5284,5476
"2561","67181_2011-12",11,131,953,436,29,766,794
"2562","67181_2012-13",11,124,964,444,33,751,825
"2563","67181_2013-14",12,106,960,432,35,723,822
"2564","67181_2014-15",12,99,928,385,40,683,781
"2565","67181_2015-16",14,104,936,366,35,665,790
"2566","67181_2016-17",10,92,968,363,35,683,785
"2567","67199_2011-12",0,14,82,7,7,53,57
"2568","67199_2012-13",0,13,173,13,10,103,106
"2569","67199_2013-14",1,11,200,14,3,125,104
"2570","67199_2014-15",0,13,187,7,6,103,110
"2571","67199_2015-16",0,14,198,11,4,115,112
"2572","67199_2016-17",1,14,225,7,4,134,117
"2573","67207_2011-12",167,841,7003,1935,500,5009,5437
"2574","67207_2012-13",158,801,7097,1820,508,4945,5439
"2575","67207_2013-14",136,726,7117,1725,543,4916,5331
"2576","67207_2014-15",123,749,7218,1668,588,4903,5443
"2577","67207_2015-16",138,730,7399,1716,584,5040,5527
"2578","67207_2016-17",144,642,7532,1661,626,5025,5580
"2579","67215_2011-12",715,1888,11483,6026,815,10189,10738
"2580","67215_2012-13",728,1747,11681,5719,880,10186,10569
"2581","67215_2013-14",742,1654,11778,5477,852,9997,10506
"2582","67215_2014-15",750,1585,11708,5183,932,9813,10345
"2583","67215_2015-16",735,1564,11874,5069,995,9980,10257
"2584","67215_2016-17",761,1526,12122,4888,1059,10029,10327
"2585","67231_2011-12",4,24,431,103,22,270,314
"2586","67231_2012-13",4,37,475,123,24,296,367
"2587","67231_2013-14",6,30,510,150,29,344,381
"2588","67231_2014-15",10,29,523,138,29,355,374
"2589","67231_2015-16",17,41,564,153,31,383,423
"2590","67231_2016-17",15,45,568,166,28,401,421
"2591","67249_2011-12",57,381,2964,811,259,2189,2283
"2592","67249_2012-13",57,370,3016,811,237,2179,2312
"2593","67249_2013-14",49,393,3125,777,248,2281,2311
"2594","67249_2014-15",48,410,3192,741,259,2284,2366
"2595","67249_2015-16",47,419,3285,769,283,2335,2468
"2596","67249_2016-17",55,407,3398,713,299,2391,2481
"2597","67280_2011-12",4,1,44,61,8,63,55
"2598","67280_2012-13",4,1,42,59,8,59,55
"2599","67280_2013-14",3,0,40,53,3,45,54
"2600","67280_2014-15",3,3,33,43,4,44,42
"2601","67280_2015-16",1,4,35,42,8,48,42
"2602","67280_2016-17",0,2,45,43,9,44,55
"2603","67314_2011-12",6331,5163,6987,7279,3661,14343,15078
"2604","67314_2012-13",6406,5021,7128,7002,3835,14323,15069
"2605","67314_2013-14",6412,4880,7379,6744,4035,14247,15203
"2606","67314_2014-15",6569,4648,7522,6677,4254,14432,15238
"2607","67314_2015-16",6676,4425,7673,6414,4500,14418,15270
"2608","67314_2016-17",6890,4146,7884,6256,4771,14507,15440
"2609","67322_2011-12",0,2,12,45,0,29,30
"2610","67322_2012-13",1,7,19,47,3,30,47
"2611","67322_2013-14",4,16,27,47,9,31,72
"2612","67322_2014-15",3,31,31,51,13,38,91
"2613","67322_2015-16",4,29,32,44,11,35,85
"2614","67322_2016-17",5,20,32,24,20,30,71
"2615","67330_2011-12",885,679,1326,5210,481,4148,4433
"2616","67330_2012-13",894,670,1367,5163,507,4066,4535
"2617","67330_2013-14",896,649,1438,5123,554,4134,4526
"2618","67330_2014-15",997,633,1542,5139,590,4261,4640
"2619","67330_2015-16",1106,587,1667,5161,650,4458,4713
"2620","67330_2016-17",1217,571,1754,5198,749,4691,4798
"2621","67348_2011-12",15,22,482,359,35,421,492
"2622","67348_2012-13",12,22,480,352,36,429,473
"2623","67348_2013-14",15,18,479,350,34,454,442
"2624","67348_2014-15",12,20,474,313,37,414,442
"2625","67348_2015-16",15,20,472,315,17,419,420
"2626","67348_2016-17",21,15,505,333,23,439,458
"2627","67355_2011-12",40,28,1123,943,153,1117,1170
"2628","67355_2012-13",35,23,1143,936,169,1098,1208
"2629","67355_2013-14",31,33,1230,846,179,1102,1217
"2630","67355_2014-15",36,39,1192,847,149,1075,1188
"2631","67355_2015-16",21,36,1201,817,159,1073,1161
"2632","67355_2016-17",19,34,1243,758,137,1065,1126
"2633","67413_2011-12",14,13,458,505,39,508,521
"2634","67413_2012-13",10,13,486,455,41,515,490
"2635","67413_2013-14",6,13,491,439,43,506,486
"2636","67413_2014-15",9,15,532,426,49,520,511
"2637","67413_2015-16",8,19,525,444,55,496,555
"2638","67413_2016-17",3,13,526,425,58,490,535
"2639","67421_2011-12",0,0,0,0,0,0,0
"2640","67421_2012-13",0,0,0,0,0,0,0
"2641","67421_2013-14",0,0,0,0,0,0,0
"2642","67421_2014-15",0,0,0,0,0,0,0
"2643","67421_2015-16",0,2,4,1,1,5,3
"2644","67421_2016-17",0,28,31,18,19,50,46
"2645","67439_2011-12",4022,3911,7109,3711,1979,10091,10641
"2646","67439_2012-13",3830,3874,7224,3713,1847,9950,10538
"2647","67439_2013-14",3735,3866,7156,3576,1811,9878,10266
"2648","67439_2014-15",3686,3888,7285,3496,1795,9922,10228
"2649","67439_2015-16",3606,3772,7517,3488,1812,9957,10238
"2650","67439_2016-17",3594,3587,7593,3442,1916,9892,10240
"2651","67447_2011-12",1266,1871,4124,15131,1262,11683,11971
"2652","67447_2012-13",1318,1818,4327,14674,1408,11618,11927
"2653","67447_2013-14",1333,1789,4525,14250,1502,11553,11846
"2654","67447_2014-15",1326,1782,4715,13672,1564,11394,11665
"2655","67447_2015-16",1426,1981,4979,13852,1151,11611,11778
"2656","67447_2016-17",1380,1818,5097,13477,1643,11606,11809
"2657","67470_2011-12",16,13,913,260,44,607,639
"2658","67470_2012-13",14,7,874,242,48,571,614
"2659","67470_2013-14",14,8,913,238,45,602,616
"2660","67470_2014-15",18,6,946,232,45,598,649
"2661","67470_2015-16",21,0,923,204,67,588,627
"2662","67470_2016-17",21,5,922,215,27,575,615
"2663","67504_2015-16",0,0,99,74,3,79,97
"2664","67504_2016-17",0,1,97,82,7,82,105
"2665","67538_2011-12",31,29,1994,911,85,1511,1539
"2666","67538_2012-13",40,22,2033,899,75,1504,1565
"2667","67538_2013-14",40,19,2039,830,83,1438,1573
"2668","67538_2014-15",42,22,2043,807,89,1460,1543
"2669","67538_2015-16",39,19,2094,782,76,1451,1559
"2670","67538_2016-17",40,12,2149,765,77,1421,1622
"2671","67553_2015-16",0,0,25,7,35,32,35
"2672","67587_2011-12",32,609,1399,351,119,1200,1310
"2673","67587_2012-13",30,617,1483,321,113,1276,1288
"2674","67587_2013-14",28,727,1671,344,139,1449,1460
"2675","67587_2014-15",35,804,1855,403,147,1633,1611
"2676","67587_2015-16",41,792,2210,447,186,1834,1842
"2677","67587_2016-17",30,729,2176,442,220,1762,1835
"2678","67595_2011-12",77,150,569,703,48,760,787
"2679","67595_2012-13",84,129,583,709,48,732,821
"2680","67595_2013-14",94,116,605,642,49,726,780
"2681","67595_2014-15",100,111,563,598,40,662,750
"2682","67595_2015-16",94,115,571,614,40,669,765
"2683","67595_2016-17",112,101,584,616,47,710,750
"2684","67611_2011-12",29,354,1305,726,178,1248,1344
"2685","67611_2012-13",30,370,1274,685,177,1216,1320
"2686","67611_2013-14",30,345,1272,589,162,1144,1254
"2687","67611_2014-15",25,394,1278,581,170,1159,1289
"2688","67611_2015-16",23,400,1238,552,173,1148,1238
"2689","67611_2016-17",29,421,1239,531,188,1152,1256
"2690","67637_2011-12",19,21,371,784,106,622,679
"2691","67637_2012-13",17,19,395,751,64,597,649
"2692","67637_2013-14",12,16,393,739,59,588,631
"2693","67637_2014-15",15,16,406,694,49,566,614
"2694","67637_2015-16",14,16,401,666,32,566,563
"2695","67637_2016-17",12,13,403,685,40,572,581
"2696","67645_2011-12",63,123,570,361,69,617,569
"2697","67645_2012-13",52,114,549,326,67,565,543
"2698","67645_2013-14",49,138,547,310,60,536,568
"2699","67645_2014-15",54,145,551,298,61,526,583
"2700","67645_2015-16",51,122,603,299,65,585,555
"2701","67645_2016-17",45,100,555,278,68,529,517
"2702","67652_2011-12",1231,2282,15542,4843,1167,12249,12816
"2703","67652_2012-13",1200,2184,15640,4731,1265,12233,12787
"2704","67652_2013-14",1157,2089,15687,4567,1247,12103,12644
"2705","67652_2014-15",1258,1992,15626,4444,1278,12024,12574
"2706","67652_2015-16",1346,1989,15508,4231,1287,11862,12499
"2707","67652_2016-17",1435,1919,15213,4043,1284,11535,12359
"2708","67678_2011-12",1564,688,8566,3854,1125,7710,8087
"2709","67678_2012-13",1596,606,8518,3693,1004,7483,7934
"2710","67678_2013-14",1644,595,8374,3297,1114,7257,7767
"2711","67678_2014-15",1705,583,8249,3015,1136,7141,7547
"2712","67678_2015-16",1720,550,8181,2876,1047,6967,7407
"2713","67678_2016-17",1806,521,8044,2704,1072,6807,7340
"2714","67686_2011-12",149,563,8477,789,260,4965,5273
"2715","67686_2012-13",154,574,8457,832,276,5016,5277
"2716","67686_2013-14",163,606,8557,871,278,5105,5370
"2717","67686_2014-15",163,614,8603,863,268,5141,5370
"2718","67686_2015-16",164,596,8722,864,283,5165,5464
"2719","67686_2016-17",166,566,8619,775,242,4982,5386
"2720","67694_2011-12",29,96,392,55,34,303,303
"2721","67694_2012-13",24,88,364,63,32,281,290
"2722","67694_2013-14",17,80,355,47,27,270,256
"2723","67694_2014-15",23,78,342,48,27,251,267
"2724","67694_2015-16",18,87,335,44,30,245,269
"2725","67694_2016-17",16,81,354,39,33,239,284
"2726","67702_2011-12",235,415,1463,789,313,1575,1640
"2727","67702_2012-13",287,397,1474,783,318,1562,1697
"2728","67702_2013-14",351,389,1455,766,349,1610,1700
"2729","67702_2014-15",332,397,1426,729,353,1589,1648
"2730","67702_2015-16",324,419,1482,757,370,1660,1692
"2731","67702_2016-17",350,420,1517,785,350,1686,1736
"2732","67710_2011-12",217,1402,15993,1090,422,9319,9805
"2733","67710_2012-13",218,1348,15952,988,437,9218,9725
"2734","67710_2013-14",209,1324,15692,929,451,8901,9704
"2735","67710_2014-15",210,1226,15667,877,463,8810,9633
"2736","67710_2015-16",224,1170,15434,822,420,8672,9398
"2737","67710_2016-17",200,1100,15336,762,425,8596,9227
"2738","67736_2011-12",5,31,100,175,15,154,172
"2739","67736_2012-13",5,20,89,151,22,138,149
"2740","67736_2013-14",6,38,182,287,46,266,293
"2741","67736_2014-15",15,65,442,348,60,499,431
"2742","67736_2015-16",13,94,596,414,63,618,562
"2743","67736_2016-17",17,121,764,442,96,728,712
"2744","67777_2011-12",46,263,1071,2257,322,1965,1994
"2745","67777_2012-13",46,259,1058,2141,321,1848,1977
"2746","67777_2013-14",53,259,1119,2133,319,1870,2013
"2747","67777_2014-15",48,252,1293,2185,356,2031,2103
"2748","67777_2015-16",42,274,1495,2325,336,2202,2270
"2749","67777_2016-17",38,241,1102,1880,257,1700,1818
"2750","67785_2011-12",13,65,470,78,38,350,314
"2751","67785_2012-13",21,48,433,68,32,315,287
"2752","67785_2013-14",23,38,439,74,36,291,319
"2753","67785_2014-15",21,41,454,77,40,317,316
"2754","67785_2015-16",19,42,458,67,31,309,308
"2755","67785_2016-17",24,41,432,77,32,307,299
"2756","67793_2011-12",0,4,7,19,0,13,17
"2757","67793_2012-13",0,1,12,12,0,12,13
"2758","67793_2013-14",0,1,9,15,2,16,11
"2759","67793_2014-15",0,1,5,15,2,13,10
"2760","67793_2015-16",0,1,6,15,0,8,14
"2761","67793_2016-17",1,1,9,15,0,10,16
"2762","67801_2011-12",4,12,96,218,74,195,209
"2763","67801_2012-13",4,10,102,188,65,175,194
"2764","67801_2013-14",5,9,87,200,59,164,196
"2765","67801_2014-15",4,6,77,202,51,158,182
"2766","67801_2015-16",3,12,85,189,75,160,204
"2767","67801_2016-17",5,9,88,205,86,186,207
"2768","67819_2011-12",90,156,4293,243,143,2416,2509
"2769","67819_2012-13",111,146,4336,221,130,2369,2575
"2770","67819_2013-14",107,123,4349,183,134,2362,2534
"2771","67819_2014-15",105,112,4236,179,124,2266,2490
"2772","67819_2015-16",114,118,4176,195,108,2259,2452
"2773","67819_2016-17",107,104,4234,163,111,2317,2402
"2774","67827_2011-12",23,164,1054,693,97,1016,1015
"2775","67827_2012-13",21,164,1264,692,113,1159,1095
"2776","67827_2013-14",18,178,1354,770,114,1278,1156
"2777","67827_2014-15",12,205,1440,707,115,1283,1196
"2778","67827_2015-16",11,230,1365,616,119,1195,1146
"2779","67827_2016-17",15,259,1409,656,114,1267,1186
"2780","67843_2011-12",857,785,4639,3856,757,5386,5508
"2781","67843_2012-13",831,758,4682,3764,781,5303,5513
"2782","67843_2013-14",863,730,4683,3588,794,5207,5451
"2783","67843_2014-15",877,673,4785,3445,782,5133,5429
"2784","67843_2015-16",923,691,4838,3287,776,5129,5386
"2785","67843_2016-17",941,710,4861,3171,734,5120,5297
"2786","67850_2011-12",126,1865,9598,658,254,6147,6354
"2787","67850_2012-13",119,1715,9750,636,241,6137,6324
"2788","67850_2013-14",125,1589,9742,579,268,6040,6263
"2789","67850_2014-15",128,1484,9875,515,256,6055,6203
"2790","67850_2015-16",107,1356,9823,474,251,5950,6061
"2791","67850_2016-17",113,1234,9827,436,250,5832,6028
"2792","67868_2011-12",13,24,522,1458,86,1034,1069
"2793","67868_2012-13",16,26,546,1378,81,1008,1039
"2794","67868_2013-14",12,23,550,1264,86,955,980
"2795","67868_2014-15",13,15,545,1162,92,876,951
"2796","67868_2015-16",13,19,545,1053,95,831,894
"2797","67868_2016-17",16,21,580,976,89,793,889
"2798","67876_2011-12",430,3635,17021,2394,800,11967,12313
"2799","67876_2012-13",405,3414,17023,2120,789,11738,12013
"2800","67876_2013-14",406,3279,17146,1953,577,11500,11861
"2801","67876_2014-15",395,3082,16740,1777,683,11109,11568
"2802","67876_2015-16",374,2894,16897,1626,811,10917,11685
"2803","67876_2016-17",348,2740,17009,1456,1032,10832,11753
"2804","67892_2011-12",1,9,30,66,7,56,57
"2805","67892_2014-15",0,12,32,58,8,52,58
"2806","67892_2015-16",0,8,32,58,7,50,55
"2807","67892_2016-17",14,83,140,237,77,274,277
"2808","67918_2011-12",0,0,0,0,0,0,0
"2809","67918_2012-13",0,0,0,0,0,0,0
"2810","67918_2013-14",0,0,0,0,0,0,0
"2811","67918_2014-15",0,0,0,0,0,0,0
"2812","67918_2015-16",0,0,0,0,0,0,0
"2813","67918_2016-17",0,0,0,0,0,0,0
"2814","67934_2011-12",272,2943,8421,2231,1323,7753,7437
"2815","67934_2012-13",267,2915,8243,2636,718,7335,7444
"2816","67934_2013-14",264,2754,8038,2418,716,7027,7163
"2817","67934_2014-15",267,2681,7934,2306,701,6885,7004
"2818","67934_2015-16",247,2559,8119,2120,767,6873,6939
"2819","67934_2016-17",249,2480,8020,2113,1181,6869,7174
"2820","67959_2011-12",64,80,1637,2674,128,2164,2419
"2821","67959_2012-13",60,68,1623,2647,117,2118,2397
"2822","67959_2013-14",60,64,1653,2575,136,2141,2347
"2823","67959_2014-15",57,75,1694,2557,124,2167,2340
"2824","67959_2015-16",56,74,1747,2417,248,2151,2391
"2825","67959_2016-17",65,71,1854,2374,274,2178,2460
"2826","67967_2011-12",6,3,113,347,33,241,261
"2827","67967_2012-13",11,4,106,332,32,223,262
"2828","67967_2013-14",9,3,91,338,37,216,262
"2829","67967_2014-15",6,6,79,281,29,189,212
"2830","67967_2015-16",6,7,83,253,31,185,195
"2831","67967_2016-17",9,9,80,235,34,169,198
"2832","67975_2011-12",10,9,126,151,30,169,157
"2833","67975_2012-13",8,8,120,182,29,181,166
"2834","67975_2013-14",8,12,127,186,37,198,172
"2835","67983_2011-12",4,5,187,82,7,123,162
"2836","67983_2012-13",3,9,197,68,4,137,144
"2837","67983_2013-14",1,9,191,60,5,124,142
"2838","67983_2014-15",0,6,257,60,36,186,173
"2839","67983_2015-16",4,18,431,57,10,287,233
"2840","67983_2016-17",1,32,527,61,24,347,298
"2841","67991_2011-12",72,250,1326,1664,299,1762,1849
"2842","67991_2012-13",79,250,1292,1698,281,1742,1858
"2843","67991_2013-14",86,237,1259,1711,303,1747,1849
"2844","67991_2014-15",67,257,1296,1686,291,1693,1904
"2845","67991_2015-16",59,237,1279,1673,278,1707,1819
"2846","67991_2016-17",72,215,1326,1759,282,1708,1946
"2847","68007_2011-12",0,0,0,0,0,0,0
"2848","68007_2012-13",0,0,0,0,0,0,0
"2849","68007_2015-16",0,0,0,0,0,0,0
"2850","68007_2016-17",0,0,0,0,0,0,0
"2851","68023_2011-12",2,9,372,36,12,236,195
"2852","68023_2012-13",7,13,529,76,24,348,301
"2853","68023_2013-14",9,18,694,100,37,460,398
"2854","68023_2014-15",17,25,912,103,35,559,533
"2855","68023_2015-16",19,32,1171,110,45,734,643
"2856","68023_2016-17",11,27,1350,132,54,816,758
"2857","68031_2011-12",49,37,280,1172,78,845,771
"2858","68031_2012-13",42,35,294,1244,76,868,823
